"nom";"debut";"fin";"niveau";"ressources"
"Concurrents";;;"1"
"Gestion de la ML mail@raidcs.com";"1/9/2018";"25/5/2019";"2";"2"
"Mise ‡ jour site externe";"1/9/2018";"1/6/2019";"2";"2"
" implication des GPAs";"1/9/2018";"30/9/2018";"2";"2"
"DÈcider les moyens de com' pour le NND";"15/9/2018";"15/11/2018";"2";"2"
"Stand ‡ la coupe de l'X";"17/10/2018";"18/10/2018";"2";"2"
"VÈrification du site des inscriptions";"15/9/2018";"1/2/2019";"2";"2"
"AmÈlioration de la BDD des concurrents";"11/9/2018";"30/11/2018";"2";"2"
"Mise en place des fiches Ecole";"1/9/2018";"1/12/2018";"2";"2"
"Mise ‡ jour des rËglements (NND et Raid)";"16/10/2018";"16/11/2018";"2";"2"
"Mise ‡ jours des dossiers d'inscription";"16/10/2018";"20/11/2018";"2";"2"
"PrÈparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
" campagne d'affichage";"6/11/2018";"1/12/2018";"2";"2"
" contact club Raid";"11/9/2018";"26/11/2018";"2";"2"
"Invitation des anciens concurrents Ètudiants ‡ la SdL";"1/11/2018";"5/12/2018";"2";"2"
"RCS Tour ou Èquivalent en club Raid";"4/12/2018";"30/2/2019";"2";"2"
" pour le NND) ";"15/12/2018";"25/12/2018";"2";"2"
"DÈbut de la NL entraÓnement pour faire de la pub aussi ";"15/12/2018";"30/3/2019";"2";"2"
"Gestion des inscriptions Raid";"4/12/2018";"20/4/2019";"2";"2"
"Relance des Èquipes du raid 2018 ";"4/12/2018";"30/3/2019";"2";"2"
"Relance des Èquipes engagÈes dans l'inscription NND ";"11/12/2018";"16/2/2019";"2";"2"
"Relance des Èquipes engagÈes dans l'inscription RAID ";"11/12/2018";"10/4/2019";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"PrÈparation du QdS du NND";"1/2/2019";"14/2/2019";"2";"2"
"Dossards et plaques VTT NND";"12/2/2019";"23/2/2019";"2";"2"
"Livret concurrents Raid";"15/2/2019";"25/3/2019";"2";"2"
"Dossard du Raid";"19/3/2019";"13/4/2019";"2";"2"
"QdS Raid";"2/4/2019";"15/4/2019";"2";"2"
" tÈlÈphones)";"19/3/2019";"20/4/2019";"2";"2"
"PrÈparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"T-shirt finisher raid";"1/2/2019";"11/4/2019";"2";"2"
"SynthèËse par secteur du QdS NND";"19/3/2019";"13/4/2019";"2";"2"
"Nommer et briefer les correspondants d'Èquipe";"3/4/2019";"18/4/2019";"2";"2"
"Gestion de l'arrivÈe des concurrents";"3/4/2019";"2/4/2019";"2";"2"
"PrÈparation du panneau concurrents";"16/4/2018";"23/4/2019";"2";"2"
"DÈpouillement et synthèËse du questionnaire de satisfaction";"28/5/2019";"15/7/2019";"2";"2"
"Livrets Concs NND";"29/1/2019";"10/2/2019";"2";"2"
"Roadbook NND";"1/1/2019";"15/2/2019";"2";"2"
