nom;debut;fin;niveau;ressources
Com'int;;;4;
R_alisation film asso;11/09/2017;19/09/2017;2;Media
Article et affiche 1ère RdB;11/09/2017;21/09/2017;2;Design
Affiche bar sp_ / BBQ rentr_e;04/09/2017;13/09/2017;2;Design
Gestion du wiki;02/09/2017;15/06/2018;2;Info, Com
Semaine d'int_gration;11/09/2017;21/09/2017;2;
Compil SER;16/10/2017;27/10/2017;2;
Article SER;06/11/2017;10/11/2017;2;
Article NL BdS;04/12/2017;08/12/2017;2;
Bar Gala + Recrutement;25/09/2017;13/10/2017;2;
Article Pi, NL BdE (Raid);05/02/2018;16/04/2018;2;
Compil Raid;05/02/2018;12/02/2018;2;
Plaquette Alpha;02/03/2018;13/04/2018;2;Design
Raidbook;01/05/2018;01/06/2018;2;Design, Com
