nom;debut;fin;niveau;ressources
Concurrents;;;1;
Gestion de la ML mail@raidecp.net;01/09/2017;25/05/2018;2;Entreprise
Gestion des réseaux sociaux (Facebook, Twitter, LinkedIn, Instagram);01/09/2017;25/05/2018;2;Com Entreprise
Mise à jour site externe;01/09/2017;25/05/2018;2;Info
Questionnaire de satisfaction des concurrents internationaux;10/08/2017;10/09/2017;2;
Préparation du site des inscriptions;01/09/2017;01/12/2017;2;Info Entreprise
Amélioration de la BDD des concurrents;11/09/2017;30/11/2017;2;
Mise en place des fiches Ecole;01/09/2017;01/12/2017;2;
Traduction du site externe et site des inscriptions;02/10/2017;24/11/2017;2;Info
Mise à jour des règlements (Prologue et Raid);16/10/2017;20/11/2017;2;Buro
Mise à jours des dossiers d'inscription;16/10/2017;20/11/2017;2;
Préparation audit interne;06/11/2017;26/11/2017;2;Enviqua Tous
Traduction des règlements (Prologue et Raid);06/11/2017;20/11/2017;2;
Préparation RCS Tour;06/11/2017;01/12/2017;2;
Stratégie RCS tour;11/09/2017;20/10/2017;2;Com
Invitation des anciens concurrents étudiants à la SdL;06/11/2017;01/12/2017;2;Design Entreprise Com
RCS Tour;04/12/2017;30/03/2018;2;Com
Gestion des inscriptions Raid;04/12/2017;20/04/2018;2;
Relance des équipes du raid 2017;04/12/2017;30/03/2018;2;Com
Relance des équipes engagées dans l'inscription NND ;11/12/2017;16/02/2018;2;
Relance des équipes engagées dans l'inscription RAID ;11/12/2017;30/03/2018;2;
Audit interne;11/12/2017;22/12/2017;2;Enviqua Tous
Préparation du QdS du Prologue;29/01/2018;09/02/2018;2;Enviqua Info Buro
Dossards et plaques VTT Prologue;12/02/2018;23/02/2018;2;Design
Livret concurrents Raid;26/02/2018;30/03/2018;2;VP MCDEC Prez Respos Jour Com  Enviqua Entreprise Design
Dossard du Raid;19/03/2018;13/04/2018;2;Design Emplettes
Préparation QdS Raid;19/03/2018;18/04/2018;2;
Réalisation des fichiers pour les respos (VTT, téléphones);19/03/2018;20/04/2018;2;
Préparation audit externe;19/03/2018;30/03/2018;2;Tous Enviqua
T-shirt finisher raid;19/02/2018;03/04/2018;2;Achat Design Entreprise
Synthèse par secteur du QdS Prologue;19/03/2018;13/04/2018;2;
Nommer et briefer les correspondants d'équipe;03/04/2018;18/04/2018;2;
Gestion de l'arrivée des concurrents;03/04/2018;27/04/2018;2;
Préparation du panneau concurrents;16/04/2018;25/04/2018;2;Iti
Dépouillement et synthèse du questionnaire de satisfaction;28/05/2018;15/07/2018;2;
