nom;debut;fin;niveau;ressources
Enviqua;;;1;
Prise en main du poste;01.07.2017;31.07.2018;2;
Plaquette log-enviqua;01.07.2017;31.07.2017;2;Design, Log
Plan de formation;01.07.2017;20.09.2017;2;Tous
Politique et orientations;01.07.2017;30.07.2017;2;Buro
Echanges;15.09.2017;30.09.2017;2;Tous
Auditeur interne;15.09.2017;30.10.2017;2;VP MCDEC, Buro
Recrutement GPAs;21.09.2017;05.10.2017;2;
Refonte SMI;01.09.2017;30.10.2017;2;Info
Préparation WER;18.09.2017;23.09.2017;2;Trez
M. Courau;01.10.2017;30.10.2017;2;Buro
Lancement BC;15.09.2017;15.10.2017;2;
Bilan Carbone;15.09.2017;15.10.2017;2;
Calendrier Back Up;30.09.2017;15.10.2017;2;Info
Manuel Enviqua;10.10.2017;06.11.2017;2;
Préparation SER;16.10.2017;27.10.2017;2;Trez
Planning qualité;01.10.2017;15.10.2017;2;Buro
Dossier préfectures : Autorisations ONF pour le NND;01.10.2017;12.02.2018;2;Sécu
RDD1;30.10.2017;15.11.2017;2;Buro
Bilan Carbone;30.10.2017;18.05.2018;2;Buro
Lancement de l'édition;15.11.2017;30.11.2017;2;
Préparation Audit Interne;15.11.2017;07.01.2018;2;Tous
Lancement Audit Externe;15.11.2017;15.12.2017;2;Prez
Dossier préfectures : Autorisations ONF pour leRAID;01.12.2017;10.04.2018;2;Sécu
Vérifier exigences du NND;01.12.2017;19.02.2018;2;Sécu
Communication Audit Interne;07.12.2017;21.12.2017;2;
Audit Interne;01.01.2018;20.01.2018;2;Tous
Acti NND;15.01.2018;28.02.2018;2;Log, Iti
Mise en place actions audit interne;15.01.2018;26.02.2018;2;
Préparation du QdS su Night'n Day;20.01.2018;15.02.2018;2;VP MCDEC, Concs, Info
Livret Concs;29.01.2018;10.02.2018;2;VP MCDEC
RDD2;26.02.2018;10.03.2018;2;Buro
Brieffing Environnement NND;12.02.2018;16.02.2018;2;
Vérif. Affiches tri;01.02.2018;15.02.2018;2;Log
J-env;19.02.2018;14.04.2018;2;Buro
Bilan Carbone;19.02.2018;10.03.2018;2;
Préparer commande éco-tasses.couverts;26.02.2018;15.03.2018;2;Ent, Design, Achats
Vérifier exigences du RAID;28.02.2018;25.04.2018;2;Sécu
Préparation audit externe;17.03.2018;07.04.2018;2;Tous
Audit externe;26.03.2018;07.04.2018;2;Buro
Livret Concs;02.04.2018;20.04.2018;2;Design
1er brieffing respos nuits;20.03.2018;01.04.2018;2;Nuit, Log
Contacts avec respos Cerem;20.03.2018;15.04.2018;2;Cerem
Brieffing Environnement Raid;09.04.2018;14.04.2018;2;
QdS;02.04.2018;14.04.2018;2;VP MCDEC, Concs
Brieffing éco-respos;28.04.2018;01.05.2018;2;Log
Evaluation fournisseur;03.05.2018;31.05.2018;2;
Bilan Carbone;03.05.2018;15.06.2018;2;
Rédaction rapport de passation;03.05.2018;15.07.2018;2;
QdS Staff;07.05.2018;19.05.2018;2;Com'int
Formation des nouveaux respos;25.05.2018;15.06.2018;2;
RDD3;25.05.2018;15.06.2018;2;Buro
