nom;debut;fin;niveau;ressources
Ouvreurs;;;1;
Participation aux repérages du RAID;15/09/2017;16/04/2018;2;
Préparation audit interne;30/10/2017;26/11/2018;2;Enviqua, Tous
Repérages NND;01/11/2017;31/03/2018;2;
Choix des ouvreurs pour le NND;01/12/2017;31/01/2018;2;
Proposer des entrainements VTT/Trail pour les futurs ouvreurs;01/12/2017;16/04/2018;2;
Faire des vidéos réparation vélo pour les concurrents;01/12/2017;16/04/2018;2;
Audit interne;15/12/2017;10/01/2018;2;Enviqua, Tous
Formation ouvreurs et balisage;01/01/2018;16/04/2018;2;Iti
Organiser le trail de cohésion;03/01/2018;15/01/2018;2;
Choix des ouvreurs du RAID;01/02/2018;31/03/2018;2;
Gérer les ouvreurs sur le NND;17/02/2018;18/02/2018;2;
Préparation audit externe;13/03/2018;31/03/2018;2;Tous, Enviqua
Gestion des ouvreurs ;16/04/2018;21/04/2018;2;
Gestion des VTTs;16/04/2018;21/04/2018;2;
Gestion du balisage;16/04/2018;21/04/2018;2;
