nom;debut;fin;niveau;ressources;;;
Info;;;1;;;;
Design site externe;01/08/2017;31/08/2017;2;Design;;;
mise en place des mls sur google suite;01/08/2017;31/08/2017;2;;;;
Refonte SMI;13/09/2017;16/12/2017;2;Enviqua;;;
reprendre l'organisation des onglets du site interne;01/09/2017;01/10/2017;2;buro;;;
Ajouter les articles de la com sur le site interne / externe;14/09/2017;27/05/2018;2;Com;;;
Calendrier back up;30/09/2017;15/10/2017;2;Enviqua;;;
Gestion du wiki;02/09/2017;27/05/2018;2;Com'int, Com;;;
Inscriptions des GPAs sur les MLs;10/09/2017;01/10/2017;2;;;;
Mettre a jour le site interne;03/09/2017;10/10/2017;2;;;;
Gérer les imprimantes;13/09/2017;27/05/2018;2;;;;
Gérer les mls;13/09/2017;27/05/2018;2;;;;
Mise à jour site externe;13/09/2017;27/05/2018;2;Entreprise, Concurrents, Media, Com;;;
Réalisation macroplanning pour le site interne;20/09/2017;30/09/2017;2;Planning;;;
Site externe : refonte graphique et/ou nouveau projet;17/09/2017;03/12/2017;2;;;;
Préparation du site des inscriptions;17/09/2017;18/02/2018;2;Concurrents, Entreprise;;;
Formations;17/09/2017;28/02/2018;2;;;;
Formation Utilisation CMS Site Externe;17/09/2017;20/10/2018;2;Design, Entreprise, Com, Media;;;
Traduction des modifications du site externe;01/10/2017;22/11/2017;2;Concurrents;;;
Formations des GPAs html/css;03/10/2017;23/10/2017;2;;;;
Mise à jour de l'article Wikipédia;28/10/2017;15/12/2017;2;Com;;;
Préparation audit interne;30/10/2017;26/11/2017;2;Enviqua, Tous;;;
Formations des GPAs PHP/Wordpress;31/10/2017;04/12/2017;2;;;;
Lancement de l'édition;14/11/2017;27/11/2017;2;Enviqua;;;???
Formation GIT;12/12/2017;02/01/2017;2;;;;
Audit interne;15/12/2017;10/01/2018;2;Enviqua, Tous;;;
Formations symfony & Orient‚ objet;02/01/2018;30/01/2018;2;;;;
Tester et se familiariser avec le matériel de chronométrage;07/01/2018;10/02/2018;2;;;;
Formations des GPAs au chronométrage;30/01/2018;18/02/2018;2;;;;
Préparation du QdS du Night'n Day;01/02/2018;14/02/2018;2;Concurrents, Enviqua, VP MCDEC;;;
Planification du chronométrage du Night'n Day;01/02/2018;10/02/2018;2;;;;
Site en direct;18/02/2018;09/04/2018;2;;;;
Vote SMS;18/02/2018;09/04/2018;2;;;;
Application;10/02/2018;09/04/2018;2;;;;
Préparation audit externe;13/03/2018;31/03/2018;2;Tous, Enviqua;;;
Tracker GPS;15/03/2018;09/04/2018;2;;;;
Planification du chronométrage du Raid;01/04/2018;09/04/2018;2;;;;
Migrer sur un serveur dédié (pendant le Raid uniquement);09/04/2018;15/05/2018;2;;;;
Archivage de l'année;05/05/2018;10/06/2018;2;;;;
