nom;debut;fin;niveau;ressources;Description
Développement;;;1;;
Choix des différents projets pour l'année;20/05/2017;31/07/2017;2;Tous;
Etude de faisabilité des différentes idées (Night N'Day);31/07/2017;15/09/2017;2;Buro;
Sélection définitive des différentes idées à mettre en oeuvre (Night N'Day);01/09/2017;30/09/2017;2;Buro;
Démarche de demande aux entreprise -  prestataires (Night N'Day);01/10/2017;31/01/2018;2;POLIS, Entreprise, Trez;
Bilan de faisabilité et d'avancée (Night N'Day);01/10/2017;08/10/2017;2;;
Choix définitif des entreprises - prestataires (Night N'Day);01/12/2017;20/12/2017;2;Buro;
Finalisation de l'organisation (Night N'Day);01/01/2018;15/02/2018;2;;
Réfléchir aux projets à réaliser (RAID);01/08/2017;15/12/2017;2;Tous;
Choix définitif des projets (RAID);01/01/2018;08/01/2018;2;Buro;
Démarche de demande aux entreprises - prestataires (RAID);01/01/2018;01/03/2018;2;POLIS, Entreprise, Trez;
Bilan de faisabilité et d'avancée (RAID);01/02/2018;08/02/2018;2;;
Choix définitif des entreprises - prestataires (RAID);01/03/2018;08/03/2018;2;;
Finalisation de l'organisation (RAID);08/03/2018;15/04/2018;2;;
Retour, CR, rapport de passation;01/08/2017;01/06/2018;2;;
Préparation audit interne;30/10/2017;26/11/2017;2;Enviqua, Tous;
Audit interne;15/12/2017;10/01/2018;2;Enviqua, Tous;
Préparation audit externe;13/03/2018;31/03/2018;2;Tous, Enviqua;
