nom;debut;fin;niveau;ressources
Planning;;;1;
Récupération des plannings des secteurs;08/06/2017;10/09/2017;2;
Harmonisation des tâches du macroplanning;11/09/2017;30/09/2017;2;
Réalisation macroplanning pour le site interne;01/10/2017;08/10/2017;2;Info
Version papier du macroplanning (Gantt);08/10/2017;31/10/2017;2;
Améliorer l'intégration du planning sur le site interne;01/11/2017;31/12/2017;2;
Prise en main d'Access;01/11/2017;31/12/2017;2;
Actualiser les données des staffeurs, rôles spécifiques de certains;01/01/2018;31/01/2018;2;
Tableau des tâches des respos jour/nuit NND;15/01/2018;19/02/2018;2;Respos Jour/Nuit
Préparation planning du NND;19/02/2018;22/02/2018;2;
Impression et distribution des plannings NND;19/02/2018;22/02/2018;2;
Tableau des respos sur le Raid, rôles spécifiques;03/03/2018;31/03/2018;2;Sec'Gen
Tableau des tâches des respos jour/nuit Raid;01/04/2018;26/04/2018;2;Respos Jour/Nuit
Préparation planning pré-Raid;16/04/2018;26/04/2018;2;
Gérer les fiches planning du Raid;26/04/2018;01/05/2018;2;
Préparation passation;02/05/2018;01/06/2018;2;
