nom;debut;fin;niveau;ressources
Trez;;;1;
Politique et orientatins;02/06/2017;25/09/2017;2;Buro, Enviqua
Auditeur interne;01/09/2017;30/10/2017;2;VP MCDEC, Buro, Enviqua
Prise de contact avec les diff‚rents partenaires potentiels - Inclusion;01/08/2017;30/11/2017;2;Buro, Inclusion
Pr‚sentation des prestations m‚dias pour les entreprises;03/09/2017;29/10/2017;2;Buro, Media
Pr‚paration WER;12/06/2017;22/10/2017;2;Enviqua
M. Courau;15/09/2017;30/10/2017;2;Buro, Enviqua
Planning qualit‚;01/10/2017;15/10/2017;2;Buro, Enviqua
Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day);01/10/2017;08/10/2017;2;Buro, D‚v ‚v‚nementiel
Pr‚paration SER;12/09/2017;20/10/2017;2;Enviqua
Lancement audit externe;15/10/2017;15/11/2017;2;Prez, Enviqua
Mise à jour des règlements (Night N'Day et Raid);15/10/2017;16/11/2017;2;Buro, Concurrents
Affiche Prologue, plaquette d‚di‚e;15/10/2017;01/12/2017;2;Design, Achats
RDD1;30/10/2017;15/11/2017;2;Buro, Enviqua
Préparation audit interne;30/10/2017;26/11/2017;2;Enviqua, Tous
Audit interne;15/12/2017;10/01/2018;2;Enviqua, Tous
V‚rifer exigences du Prologue 1/3;01/12/2017;15/12/2017;2;Buro, S‚cu, Enviqua
V‚rifer exigences du Prologue 2/3;15/01/2018;30/01/2018;2;Buro, S‚cu, Enviqua
V‚rifer exigences du Prologue 2/3;12/02/2018;18/02/2018;2;Buro, S‚cu, Enviqua
Choix définitif des projets - dév événementiel (RAID);01/01/2018;08/01/2018;2;Buro, D‚v ‚v‚nementiel
Mat‚riel Iti;08/01/2018;13/04/2018;2;Achats, Iti
Préparation du QdS du Night N'Day;01/02/2018;14/02/2018;2;Enviqua, Info, Buro, Concurrents
Nomination Respos Jour;11/02/2018;04/03/2018;2;Log, Buro, Iti
RDD2;27/02/2018;19/03/2018;2;Buro, Enviqua
V‚rifer exigences du Raid 1/3;26/02/2018;09/03/2018;2;Buro, S‚cu, Enviqua
V‚rifer exigences du Raid 2/3;19/03/2018;06/04/2018;2;Buro, S‚cu, Enviqua
V‚rifer exigences du Raid 3/3;16/04/2018;02/05/2018;2;Buro, S‚cu, Enviqua
Préparation audit externe;13/03/2018;31/03/2018;2;Tous, Enviqua
Audit externe;20/03/2018;31/03/2018;2;Buro, Enviqua
QdS;03/04/2018;15/04/2018;2;Buro, Enviqua
Prix ATOS F‚d‚eh;15/05/2017;15/06/2017;2;Buro, GPA, Inclusion
RDD3;25/05/2018;10/06/2018;2;Buro, Enviqua
