"nom";"debut";"fin";"niveau";"ressources"
"POLIS";;;"1"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Choix définitif des projets - dév événementiel (RAID)";"1/1/2019";"13/1/2019";"2";"2"
"Roadbook Night N'Day";"1/1/2019";"21/2/2019";"2";"2"
"QdS NND";"1/2/2019";"14/2/2019";"2";"2"
" Cyclotrott";"1/8/2018";"30/11/2018";"2";"2"
"Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day)";"1/9/2018";"30/9/2018";"2";"2"
"Auditeur interne";"1/9/2018";"30/10/2018";"2";"2"
"Planning qualité";"1/10/2018";"15/10/2018";"2";"2"
"M/ Courau";"1/10/2018";"30/10/2018";"2";"2"
"Dossier préfectures: Relancer les mairies qui n'ont pas répondu";"1/11/2018";"17/2/2019";"2";"2"
"Choix des ouvreurs pour le NND";"1/12/2017";"31/1/2019";"2";"2"
"Retour Repérage v0 pour v1";"1/12/2018";"4/12/2018";"2";"2"
"Vérifier exigences du NND";"1/12/2018";"25/2/2019";"2";"2"
"Choix définitif des entreprises - prestataires (Night N'Day)";"1/12/2018";"31/12/2018";"2";"2"
"QdS Raid";"2/4/2019";"15/4/2019";"2";"2"
"Politique et orientations";"30/5/2018";"25/9/2018";"2";"2"
"Prise de contact pour les 3 WERs";"3/9/2018";"29/10/2018";"2";"2"
"Repérages NND v0 Iti";"5/11/2018";"1/12/2019";"2";"2"
"Devis actifuns";"6/11/2018";"25/11/2018";"2";"2"
"Nomination Respos Jour et Nuit";"11/1/2019";"4/3/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Formation Retape";"15/10/2018";"23/10/2018";"2";"2"
"Affiche NND";"15/10/2018";"1/12/2018";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Affiche du Raid";"15/10/2018";"1/12/2018";"2";"2"
"Lancement audit externe";"15/10/2018";"15/12/2018";"2";"2"
"Mise à jour des règlements (Night N'Day et Raid)";"16/10/2018";"16/11/2018";"2";"2"
"Actis Journée environnement";"19/2/2019";"14/4/2019";"2";"2"
"RDD3";"25/5/2019";"15/6/2019";"2";"2"
"RDD2";"26/2/2019";"10/3/2019";"2";"2"
"Audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Vérifier exigences du Raid";"28/2/2019";"25/4/2019";"2";"2"
"RDD1";"30/10/2018";"15/11/2018";"2";"2"
"Bilan Carbone";"15/9/2018";"15/6/2019";"2";"2"
"Revoir l'itinéraire / prévoir repérage handisportifs";"30/10/2018";"30/11/2018";"2";"2"
"1ers itis NND / Repérage";"5/11/2018";"1/3/2018";"2";"2"
"Présentation des prestations médias pour les entreprises";"3/9/2018";"29/10/2018";"2";"2"
