"nom";"debut";"fin";"niveau";"ressources"
"Sécu";;;"1"
"Inventaire -1 F";"8/6/2017";"10/9/2018";"2";"2"
"Assurance";"1/8/2018";"30/5/2019";"2";"2"
"Assurance : Veille exigence légale ";"1/8/2018";"30/5/2019";"2";"2"
"Assurance : Faire assurer les WERs";"1/8/2018";"10/10/2018";"2";"2"
"Assurance : Faire assurer la SER";"1/10/2018";"4/11/2018";"2";"2"
"Assurance : Faire assurer le NND";"1/11/2018";"2/3/2019";"2";"2"
"Assurance : Faire assurer le WERP et le RAID";"1/3/2019";"13/3/2019";"2";"2"
"Assurance : S'occuper d'éventuels remboursements et assistances à domicile";"1/4/2019";"30/5/2019";"2";"2"
"Assurance : Mettre à jour la liste du matériel";"1/8/2018";"1/4/2019";"2";"2"
"Assistance médicale";"1/8/2018";"15/11/2018";"2";"2"
"Assistance médicale : Recherche de secouristes pros";"1/8/2018";"15/11/2018";"2";"2"
"Assistance médicale : Recherche de devis pour support médical";"1/8/2018";"17/11/2018";"2";"2"
"Assistance médicale : Recherche de kinés et ostéos";"1/12/2018";"17/1/2019";"2";"2"
" point buro)";"1/1/2019";"3/4/2019";"2";"2"
"Assistance médicale : Finalisation recrutement et transport des kinés";"1/2/2019";"10/4/2019";"2";"2"
"Dossier préfectures";"1/9/2019";"10/4/2019";"2";"2"
"Dossier préfectures : Contacter les préfectures pour le NND pour s'informer sur les dossiers à fournir";"1/9/2017";"15/10/2019";"2";"2"
"Dossier préfectures : Autorisations ONF pour le NND";"1/10/2018";"12/2/2019";"2";"2"
"Dossier préfectures : Contacter les préfectures pour le RAID pour s'informer sur les dossiers à fournir";"1/11/2018";"1/1/2019";"2";"2"
"Dossier préfectures : Réalisation du dossier pref du NND";"1/11/2018";"2/3/2019";"2";"2"
"Dossier préfectures : Envoi du dossier pref du NND";"10/11/2018";"15/10/2018";"2";"2"
"Dossier préfectures : Avoir un premier tracé du RAID par l'iti";"5/11/2018";"22/12/2018";"2";"2"
"Dossier préfectures : Relancer les mairies qui n'ont pas répondu";"1/11/2018";"17/2/2019";"2";"2"
"Dossier préfectures : Autorisations ONF pour le RAID";"1/12/2018";"10/4/2019";"2";"2"
"Dossier préfectures : Réalisation du dossier pref du RAID";"1/12/2018";"30/1/2019";"2";"2"
"Dossier préfectures : Envoi du dossier pref du RAID";"15/1/2019";"16/1/2019";"2";"2"
"Talkies";"17/9/2018";"11/2/2019";"2";"2"
"Talkies : Test des talkies pendant les WER";"17/9/2018";"15/10/2018";"2";"2"
"Talkies : Devis Talkies";"1/10/2018";"28/1/2019";"2";"2"
"Talkies : Finalisation et signature contrats talkies";"1/1/2019";"11/2/2019";"2";"2"
"Démarchage";"1/10/2018";"1/4/2019";"2";"2"
"Démarchage : Contacter Thomas Renais et résever les WE SST";"1/10/2018";"1/2/2019";"2";"2"
"Démarchage : Contacter la DGSE et réserver les sessions formations extincteurs";"1/10/2018";"1/2/2019";"2";"2"
"Choix du lieu";"8/10/2018";"15/10/2018";"2";"2"
"Démarchage : Retape Médicale";"1/11/2018";"1/4/2019";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Vérification exigences NND";"1/12/2018";"25/2/2018";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Organisation WERP";"19/2/2019";"15/4/2019";"2";"2"
"Vérifier exigences du Raid ";"28/2/2019";"25/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
