"nom";"debut";"fin";"niveau";"ressources"
"Design";;;"1"
"Charte graphique";"30/6/2018";"31/8/2018";"2";"2"
"Document CR";"30/6/2018";"31/8/2018";"2";"2"
"Polos";"30/6/2018";"3/9/2018";"2";"2"
"Bracelets";"30/6/2018";"3/9/2018";"2";"2"
"Affiche 1ère rdb";"20/8/2017";"5/9/2018";"2";"2"
"Affiche bar spe / BBQ rentree";"20/8/2017";"5/9/2018";"2";"2"
"Cartes de visite";"1/8/2018";"15/9/2018";"2";"2"
"PrÈparation du petit dÈjeuner entreprise";"1/9/2018";"5/10/2018";"2";"2"
"Plaquette et Catalogue entreprise";"20/9/2018";"1/11/2018";"2";"2"
"Plaquette log-enviqua";"1/7/2018";"10/10/2018";"2";"2"
"Plaquette iti";"1/11/2018";"10/11/2018";"2";"2"
"Version papier du macroplanning (Gantt)";"8/10/2018";"31/10/2018";"2";"2"
"Invitation SdL";"15/10/2018";"25/10/2018";"2";"2"
"Affiche du Raid";"15/10/2018";"1/12/2018";"2";"2"
"Affiche NND";"15/10/2018";"1/12/2018";"2";"2"
"Flyers Raid/NND";"15/10/2018";"1/12/2018";"2";"2"
"Logo de l'Èdition";"15/10/2018";"1/12/2018";"2";"2"
"PrÈparation soirÈe de lancement";"1/11/2018";"5/12/2018";"2";"2"
"Polaires";"1/11/2017";"9/2/2019";"2";"2"
"Parkas";"1/11/2017";"9/2/2019";"2";"2"
"Bandeaux Facebook/Hyperplanning/Lydia/?";"15/11/2018";"30/12/2018";"2";"2"
"Fond des slides";"15/10/2017";"15/11/2018";"2";"2"
"Roadbook NND";"1/1/2019";"15/2/2019";"2";"2"
"Livrets Concs NND";"29/1/2019";"10/2/2019";"2";"2"
"T-shirt Staff/Finisher NND/Dossards/ Plaques VTT NND";"1/12/2018";"31/1/2019";"2";"2"
"Livret Concurrents Raid";"15/2/2019";"25/3/2019";"2";"2"
"Dossards/Plaques VTT Raid/Finisher Raid/ ";"28/2/2019";"11/4/2019";"2";"2"
"Raidbook staff";"1/5/2019";"1/6/2019";"2";"2"
"PrÈparation Vernissage";"1/5/2019";"1/6/2019";"2";"2"
"Rapport de passation";"16/5/2018";"30/6/2019";"2";"2"
