"nom";"debut";"fin";"niveau";"ressources"
"Entreprise";;;"1"
"Débriefings (premire série de RDV)";"1/6/2018";"1/10/2018";"2";"2"
"Prise de contact avec les différents partenaires potentiels - Inclusion";"1/8/2018";"30/11/2018";"2";"2"
"Recherche de sponsors";"3/9/2018";"1/4/2019";"2";"2"
"Diapo de prospection";"11/6/2018";"1/10/2018";"2";"2"
"Recherche de nouveaux partenaires";"11/6/2018";"1/6/2019";"2";"2"
"Plaquette et catalogue entreprise";"20/9/2018";"1/11/2018";"2";"2"
"Gestion réseau LinkedIn";"3/9/2018";"1/6/2019";"2";"2"
"Planning amphi de présentation";"11/6/2018";"1/6/2018";"2";"2"
"Préparation Diner Club Esprit Raid";"3/9/2018";"1/11/2018";"2";"2"
"Préparation du petit dejeuner entreprises";"1/9/2018";"5/10/2018";"2";"2"
" DCER";"1/6/2018";"1/6/2019";"2";"2"
"Infos entreprise sur le site externe";"1/9/2018";"1/6/2019";"2";"2"
"Finalisation de l'offre et signature des contrats (2me série de RDV)";"3/9/2018";"1/2/2018";"2";"2"
"Parkas";"1/11/2017";"9/2/2019";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Préparation soirée de lancement";"1/11/2018";"5/12/2018";"2";"2"
"T-shirt finisher NND";"1/12/2018";"31/1/2019";"2";"2"
"Dossard+ t-shirt meilleure équipe étudiante RAID";"3/9/2018";"1/4/2019";"2";"2"
"Roadbook NND";"1/1/2019";"15/2/2019";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Livret Concs NND";"29/1/2019";"10/2/2019";"2";"2"
"Gérer les sponsoring des activités du Raid";"1/11/2018";"1/4/2019";"2";"2"
"Journée environnement - Réfléchir aux actis";"19/2/2019";"14/4/2019";"2";"2"
"Préparation NND (Vips et Respos Vips)";"1/2/2019";"4/3/2019";"2";"2"
"Dossard NND";"1/12/2018";"31/1/2019";"2";"2"
"Sac actifun RAID";"1/2/2019";"1/4/2019";"2";"2"
"Préparation deuxime Diner Club Esprit Raid";"1/2/2019";"1/4/2019";"2";"2"
"Livret Concs Raid";"15/2/2019";"20/4/2019";"2";"2"
"Préparation du Raid";"1/3/2019";"1/5/2019";"2";"2"
"T-shirt finisher RAID";"1/2/2019";"11/4/2019";"2";"2"
"Buff";"2/7/2019";"4/11/2019";"2";"2"
"Préparer commande éco-tasses/couverts - modalités du partenariat environnement";"1/3/2019";"1/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Débriefings année 2019";"1/5/2019";"1/10/2019";"2";"2"
"Préparation Vernissage";"1/5/2019";"1/6/2019";"2";"2"
"Préparation CDMGE";"1/5/2019";"5/6/2019";"2";"2"
"Gestion de la ML mail@raidcs/com";"1/9/2018";"25/5/2019";"2";"2"
"Formations respos NND";"14/12/2018";"29/2/2019";"2";"2"
"Définition des offres sponsoring : Construction des paliers et des contreparties";"1/8/2018";"15/9/2018";"2";"2"
"Vérification du site des inscriptions";"15/9/2018";"1/2/2019";"2";"2"
"Formation utilisation CMS site externe";"6/11/2018";"6/12/2019";"2";"2"
