"nom";"debut";"fin";"niveau";"ressources"
"Info";;;"1"
"Déplacement site interne";"1/7/2018";"1/9/2018";"2";"2"
"LDAP";"7/7/2018";"1/9/2018";"2";"2"
"Site inscription à finir";"15/7/2018";"1/9/2018";"2";"2"
"Appli communication";"15/7/2018";"1/9/2018";"2";"2"
"Appli classement";"15/7/2018";"15/7/2018";"2";"2"
"Backup";"1/8/2018";"1/9/2018";"2";"2"
"wiki à réparer";"1/8/2018";"1/9/2018";"2";"2"
"Design site externe";"1/7/2018";"30/10/2018";"2";"2"
"mise en place des mls ";"1/8/2018";"31/8/2018";"2";"2"
"Ajouter les articles de la com sur le site interne / externe";"2/9/2018";"31/5/2019";"2";"2"
"Calendrier back up";"30/9/2018";"15/10/2018";"2";"2"
"Gestion du wiki";"2/9/2018";"27/5/2019";"2";"2"
"Inscriptions des GPAs sur les MLs";"10/9/2018";"1/10/2018";"2";"2"
"Mettre a jour le site interne";"3/9/2018";"10/10/2018";"2";"2"
"Gérer les mls";"13/9/2018";"27/5/2019";"2";"2"
"Mise à jour site externe";"1/9/2018";"1/6/2019";"2";"2"
"Réalisation macroplanning pour le site interne";"20/9/2018";"8/10/2018";"2";"2"
"Vérification du site des inscriptions";"15/9/2018";"1/2/2019";"2";"2"
"Formation Utilisation CMS Site Externe";"6/11/2018";"6/12/2019";"2";"2"
"Traduction des modifications du site externe";"2/10/2018";"1/4/2019";"2";"2"
"Formations des GPAs html/css";"3/10/2018";"23/10/2018";"2";"2"
"Recréation article Wikipédia";"28/10/2018";"15/12/2018";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Formations des GPAs PHP/Wordpress";"31/10/2018";"4/12/2019";"2";"2"
"Formation GIT";"12/12/2018";"2/1/2019";"2";"2"
"Formations symfony";"2/1/2019";"30/1/2019";"2";"2"
"Location et test matériel de chronométrage";"1/1/2019";"10/2/2019";"2";"2"
"Formations des GPAs au chronométrage";"30/1/2019";"18/2/2019";"2";"2"
"Planification du chronométrage du Night'n Day";"10/2/2019";"1/3/2019";"2";"2"
"Site en direct";"18/2/2019";"9/4/2019";"2";"2"
"Application site en direct";"10/2/2019";"9/4/2019";"2";"2"
"Badgeuse et tracker gps";"10/2/2019";"5/5/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Planification du chronométrage du Raid";"1/4/2019";"30/4/2018";"2";"2"
"Archivage de l'année";"15/5/2019";"20/6/2018";"2";"2"
