"nom";"debut";"fin";"niveau";"ressources"
"Planning";;;"1"
"Récupération des plannings des secteurs";"8/6/2018";"16/9/2018";"2";"2"
"Harmonisation des tâches du macroplanning";"17/9/2017";"30/9/2018";"2";"2"
"Réalisation macroplanning pour le site interne";"20/9/2018";"8/10/2018";"2";"2"
"Version papier du macroplanning (Gantt)";"8/10/2018";"31/10/2018";"2";"2"
"Améliorer l'intégration du planning sur le site interne";"1/11/2018";"31/12/2018";"2";"2"
"Prise en main d'Access";"1/11/2018";"31/12/2018";"2";"2"
" rôles spécifiques de certains";"1/1/2019";"31/1/2019";"2";"2"
"Nomination aides-planning NND";"10/1/2019";"31/1/2019";"2";"2"
"Tableau des tâches des respos jour/nuit NND";"20/1/2019";"25/2/2019";"2";"2"
"Préparation planning du NND";"25/2/2019";"28/2/2019";"2";"2"
"Impression et distribution des plannings NND";"25/2/2019";"28/2/2019";"2";"2"
" rôles spécifiques";"3/3/2019";"31/3/2019";"2";"2"
"Nomination aides-planning Raid";"14/3/2019";"4/4/2019";"2";"2"
"Préparation planning pré-Raid";"13/4/2019";"23/4/2019";"2";"2"
"Gérer les fiches planning du Raid";"23/4/2019";"28/4/2019";"2";"2"
"Préparation passation";"29/4/2019";"1/6/2019";"2";"2"
