"nom";"debut";"fin";"niveau";"ressources"
"SecGen";;;"1"
"Politique et orientations";"30/5/2018";"25/9/2018";"2";"2"
"Auditeur interne";"1/9/2018";"30/10/2018";"2";"2"
"Présentation des prestations médias pour les entreprises";"3/9/2018";"29/10/2018";"2";"2"
"M/ Courau";"1/10/2018";"30/10/2018";"2";"2"
"Reprendre l'organisation des onglets du site interne";"1/9/2018";"1/10/2018";"2";"2"
"Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day)";"1/9/2018";"30/9/2018";"2";"2"
"Invitation SdL";"15/10/2018";"25/10/2018";"2";"2"
"Planning qualité";"1/10/2018";"15/10/2018";"2";"2"
"Mise à jour des règlements (Night N'Day et Raid)";"16/10/2018";"16/11/2018";"2";"2"
"Affiche NND";"15/10/2018";"1/12/2018";"2";"2"
"Affiche du Raid";"15/10/2018";"1/12/2018";"2";"2"
"Fond des slides";"15/10/2017";"15/11/2018";"2";"2"
"RDD1";"30/10/2018";"15/11/2018";"2";"2"
"Bilan Carbone";"15/9/2018";"15/6/2019";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Vérifier exigences du NND";"1/12/2018";"25/2/2019";"2";"2"
"Choix définitif des entreprises - prestataires (Night N'Day)";"1/12/2018";"31/12/2018";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Choix définitif des projets - dév événementiel (RAID)";"1/1/2019";"13/1/2019";"2";"2"
"Nomination Respos Jour et Nuit";"11/1/2019";"4/3/2019";"2";"2"
"Actis Journée environnement";"19/2/2019";"14/4/2019";"2";"2"
"RDD2";"26/2/2019";"10/3/2019";"2";"2"
"Vérifier exigences du Raid";"28/2/2019";"25/4/2019";"2";"2"
" rôles spécifiques";"3/3/2019";"31/3/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Audit externe";"17/2/2019";"7/4/2019";"2";"2"
"QdS Raid";"2/4/2019";"15/4/2019";"2";"2"
"QdS Staff";"1/5/2019";"19/5/2019";"2";"2"
"Préparation Vernissage";"1/5/2019";"1/6/2019";"2";"2"
"RDD3";"25/5/2019";"15/6/2019";"2";"2"
"QdS Staff";"1/5/2019";"19/5/2019";"2";"2"
"Prise de contact pour les 3 WERs";"3/9/2018";"29/10/2018";"2";"2"
