nom;debut;fin;niveau;ressources
Inclusion;;;1;
Renouer avec les anciens contacts, leur transmettre dates;01/07/2018;31/08/2018;2;
Se renseigner sur les concours;01/08/2018;30/09/2018;2;
Rechercher d'autres associations, étudiantes ou non;01/07/2018;30/09/2018;2;Tous les raideurs
Contact et rdv avec Husson;31/08/2018;30/09/2018;2;Béré
Mettre à jour une base de données d'handisportifs ayant participé à d'autres évènements et qui seraient chauds (contact avec autres assos);10/09/2018;30/12/2018;2;FFH
Gérer la communication sur l'inclusion sur le site externe;10/09/2018;01/11/2018;2;Info
Reloutage des partenaires et si possible signature d'une convention;01/10/2018;30/11/2018;2;Buro
Revoir itinéraires, et prévoir repérage handisportifs;30/10/2018;30/11/2018;2;Iti, ouvreurs
Prendre contact pour l'organisation d'une formation avant le NND;01/10/2018;30/12/2018;2;
Journées de la Fédéeh;14/10/2018;27/01/2019;2;volontaires et GPAs
Réalisation vidéo Tous Hanscène;06/11/2018;10/01/2019;2;Media
Rencontre avec les sportifs dans les locaux des associations partenaires;01/12/2018;20/01/2018;2;Fédéeh, Tremplin,…
Commencer à finaliser les inscriptions et organiser rencontres entre les futurs coéquipiers;01/12/2018;20/01/2018;2;Concs
Organiser entraînements avec les équipes mixtes inscrites (test matériel et cohésion);01/01/2019;16/02/2019;2;Iti, ouvreurs
