nom;debut;fin;niveau;ressources
Info;;;1;
Déplacement site interne;01/07/2018;01/09/2018;2;
LDAP;07/07/2018;01/09/2018;2;
Site inscription à finir;15/07/2018;01/09/2018;2;Buro
Appli communication;15/07/2018;01/09/2018;2;Buro
Appli classement;15/07/2018;15/07/2018;2;Buro, Concs
Backup;01/08/2018;01/09/2018;2;
wiki à réparer;01/08/2018;01/09/2018;2;
Design site externe;01/09/2018;30/10/2018;2;Com
mise en place des mls ;01/08/2018;31/08/2018;2;
Ajouter les articles de la com sur le site interne / externe;02/09/2018;31/05/2019;2;Com
Calendrier back up;30/09/2018;15/10/2018;2;Enviqua
Gestion du wiki;02/09/2018;27/05/2019;2;Com'int, Com, Inno
Inscriptions des GPAs sur les MLs;10/09/2018;01/10/2018;2;
Mettre a jour le site interne;03/09/2018;10/10/2018;2;
Gérer les mls;13/09/2018;27/05/2019;2;
Mise à jour site externe;01/09/2018;01/06/2019;2;Entreprise, Concurrents, Media, Com
Réalisation macroplanning pour le site interne;20/09/2018;30/09/2018;2;Planning
Vérification du site des inscriptions;15/09/2018;01/02/2019;2;Concurrents, Entreprise
Formation Utilisation CMS Site Externe;06/11/2018;06/12/2018;2;Design, Entreprise, Com, Media
Traduction des modifications du site externe;02/10/2018;01/04/2019;2;International
Formations des GPAs html/css;03/10/2018;23/10/2018;2;
Recréation article Wikipédia;28/10/2018;15/12/2018;2;Com
Préparation audit interne;30/10/2018;26/11/2018;2;Enviqua, Tous
Formations des GPAs PHP/Wordpress;31/10/2018;04/12/2019;2;
Formation GIT;12/12/2018;02/01/2019;2;
Formations symfony;02/01/2019;30/01/2019;2;
Location et test matériel de chronométrage;01/01/2019;10/02/2019;2;
Formations des GPAs au chronométrage;30/01/2019;18/02/2019;2;
Planification du chronométrage du Night'n Day;10/02/2019;01/03/2019;2;
Site en direct;18/02/2019;09/04/2019;2;
Application site en direct;10/02/2019;09/04/2019;2;
Badgeuse et tracker gps;10/02/2019;05/05/2019;2;
Préparation audit externe;13/03/2019;31/03/2019;2;Tous, Enviqua
Planification du chronométrage du Raid;01/04/2019;30/04/2018;2;
Archivage de l'année;15/05/2019;20/06/2018;2;
