nom;debut;fin;niveau;ressources
MCDEC;;;1;
Politique et orientations;02/06/2018;25/09/2018;2;Buro, Enviqua
Cartes de visite;01/09/2018;15/09/2018;2;Achats, Design
Auditeur interne;01/09/2018;30/10/2018;2;Buro, Enviqua
Préparation de la SdL;01/09/2018;30/11/2018;2;Buro, Entreprise
Définition des objectifs et missions de la presse;01/09/2018;31/09/2018;2;Presse
Plaquette et catalogue entreprises;20/09/2018;01/11/2018;2;Entreprise, Design
reprendre l'organisation des onglets du site interne;01/09/2018;01/10/2018;2;Buro, Info
Prise de contact avec les différents partenaires potentiels - Inclusion;01/08/2018;30/11/2018;2;Buro, Inclusion, Ent
Présentation des prestations médias pour les entreprises;03/09/2018;29/10/2018;2;Buro, Media
M/ Courau;01/10/2018;30/10/2018;2;Buro, Enviqua
Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day);01/09/2018;30/09/2018;2;Buro, Dév événementiel
Préparation du petit déjeuner entreprises;01/09/2018;05/10/2018;2;Entreprise, Design, Com
Planning qualité;01/10/2018;15/10/2018;2;Buro, Enviqua
Recherche parrains et interviews (NND & Raid);01/10/2018;25/03/2019;2;Com, Presse
Gérer le sponsoring des activités du NND;01/10/2018;01/02/2019;2;POLIS, Trez, Dév événementiel, Entreprise
Mise à jour des règlements (NND et Raid);16/10/2018;16/11/2018;2;Buro, Concurrents
Affiche NND;15/10/2018;01/12/2018;2;Design, Buro, Com
Affiche du Raid;15/10/2018;01/12/2018;2;Design, Buro, Com
Logo de l'édition;15/10/2018;01/12/2018;2;Design
RDD1;30/10/2018;15/11/2018;2;Buro, Enviqua
Bilan Carbone;30/10/2018;18/05/2019;2;Buro, Enviqua
Préparation audit interne;15/10/2018;07/01/2018;2;Enviqua, Tous
Bandeaux facebook/lydia/?;15/11/2018;30/12/2018;2;Com, Design
Flyers Raid/NND;15/10/2018;01/12/2018;2;Design
Vérifier exigences du NND;01/12/2018;19/02/2019;2;Enviqua, Sécu, Buro
Choix définitif des entreprises - prestataires (Night N'Day);01/12/2018;20/12/2018;2;Buro, Dév événementiel
Audit interne;01/01/2019;10/01/2019;2;Enviqua, Tous
Roadbook NND;01/01/2019;15/02/2019;2;Prez, Design, Entreprise, Concs, Enviqua
Choix définitif des projets - dév événementiel (RAID);01/01/2019;08/01/2019;2;Buro, Dév événementiel
Gérer les sponsoring des activités du Raid;01/11/2018;01/04/2019;2;POLIS, Trez, Dév événementiel, Entreprise
Livrets Concs NND;29/01/2019;10/02/2019;2;Prez, Com, Concurrents,  Enviqua, Entreprise, Design
QdS du Night N'Day;01/02/2019;14/02/2019;2;Enviqua, Info, Buro, Concurrents
NND;01/03/2019;02/03/2019;2;
Nomination Respos VIP;01/02/2019;04/03/2019;2;Ent, Buro
Nomination Respos Jour;04/03/2019;14/03/2019;2;Log, Buro, Iti
Livret Concs Raid;15/02/2019;25/03/2019;2;Prez, Com, Concurrents,  Enviqua, Entreprise, Design
Actis Journée environnement ;19/02/2019;14/04/2019;2;Buro, Enviqua, Entreprise
RDD2;26/02/2019;10/03/2019;2;Buro, Enviqua
Vérifier exigences du Raid;28/02/2019;25/04/2019;2;Enviqua, Sécu, Buro
Préparation audit externe;13/03/2019;31/03/2019;2;Tous, Enviqua
Audit externe;17/02/2019;07/04/2019;2;Buro, Enviqua
QdS Raid;02/04/2019;15/04/2019;2;Buro, Enviqua, Concs
PréRaid + RAID;20/04/2019;29/04/2019;2;
RDD3;25/05/2019;15/06/2019;2;Buro, Enviqua
