nom;debut;fin;niveau;ressources
Ouvreurs;;;1;
Organisation WER1;07/06/2018;23/09/2018;2;Iti, Log
Organisation WER3;07/06/2018;07/10/2018;2;Iti, Log
Inventaire -1 F;08/06/2017;01/06/2018;2;POLIS
Participation aux repérages du RAID;21/09/2018;17/04/2019;2;
Décider/Préparer des vidéos réparation vélo pour les concurrents;10/10/2018;17/02/2019;2;
Choix du lieu;15/10/2018;15/10/2018;2;POLIS
Achat/Création de kits de réparation pour les vélos;15/10/2018;26/10/2018;2;
Préparation audit interne;15/10/2018;07/01/2019;2;Enviqua, Tous
Revoir l'itinéraire / prévoir repérage handisportifs;30/10/2018;30/11/2018;2;Inclusion, iti
V1 iti NND ;05/11/2017;01/12/2018;2;Iti
Retour Repérage v0 pour v1;01/12/2018;04/12/2018;2;Iti
Choix des ouvreurs pour le NND;01/12/2017;31/01/2019;2;
Proposer des entrainements VTT/Trail pour les futurs ouvreurs;01/12/2017;17/04/2019;2;
Audit interne;01/01/2019;10/01/2019;2;Enviqua, Tous
Formation ouvreurs et balisage;01/01/2019;17/04/2019;2;Iti
Entrainement avec les équipes mixtes inscrites (test matériel et cohésion);01/01/2019;16/02/2019;2;Inclusion, iti
Organiser le trail de cohésion;03/01/2019;15/01/2019;2;
Formation débalisage (MB);;;2;
Achat de balises + sacs de balisage;03/12/2018;28/02/2019;2;
Choix des ouvreurs du RAID;01/02/2018;31/03/2019;2;
Gérer les ouvreurs sur le NND;01/03/2019;02/03/2019;2;
Préparation audit externe;01/03/2019;01/04/2019;2;Tous, Enviqua
Gestion des ouvreurs ;17/04/2019;21/04/2019;2;
Gestion des VTTs;17/04/2019;21/04/2019;2;
Gestion du balisage;17/04/2019;21/04/2019;2;
Choix du lieu;08/10/2018;10/10/2018;2;POLIS
