nom;debut;fin;niveau;ressources
SecGen;;;1;
Politique et orientations;02/06/2018;25/09/2018;2;Buro, Enviqua
Auditeur interne;01/09/2018;30/10/2018;2;Buro, Enviqua
Présentation des prestations médias pour les entreprises;03/09/2018;29/10/2018;2;Buro, Media
M/ Courau;01/10/2018;30/10/2018;2;Buro, Enviqua
Reprendre l'organisation des onglets du site interne;01/09/2018;01/10/2018;2;
Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day);01/09/2018;30/09/2018;2;Buro, Dév événementiel
Invitation SdL;15/10/2018;24/10/2018;2;Design
Planning qualité;01/10/2018;15/10/2017;2;Buro, Enviqua
Mise à jour des règlements (Night N'Day et Raid);16/10/2018;16/11/2018;2;Buro, Concurrents
Affiche NND;15/10/2018;01/11/2018;2;Design, Buro
Affiche du Raid;15/10/2018;10/11/2018;2;Design, Buro
Fond des slides;15/10/2018;15/11/2018;2;Design
RDD1;30/10/2018;15/11/2018;2;Buro
Bilan Carbone;30/10/2018;18/05/2019;2;Buro, Enviqua
Préparation audit interne;15/10/2018;07/01/2018;2;Enviqua, Tous
Vérifier exigences du NND;01/12/2018;25/02/2019;2;Enviqua, Sécu, Buro,
Choix définitif des entreprises - prestataires (Night N'Day);01/12/2018;20/12/2018;2;Buro, Dév événementiel
Audit interne;05/12/2018;10/01/2018;2;Enviqua, Tous
Choix définitif des projets - dév événementiel (RAID);01/01/2019;08/01/2019;2;Buro, Dév événementiel
Nomination Respos Jour et Nuit;11/01/2019;04/03/2019;2;Log, Buro, Iti
Actis Journée environnement;19/02/2019;14/04/2019;2;Buro, Enviqua, Entreprise
RDD2;26/02/2019;10/03/2019;2;Buro, Enviqua
Vérifier exigences du Raid;28/02/2019;23/04/2019;2;Enviqua, Sécu, Buro
Tableau des respos sur le Raid, rôles spécifiques;03/03/2019;31/03/2019;2;Planning
Préparation audit externe;13/03/2019;31/03/2019;2;Tous, Enviqua
Audit externe;26/03/2019;07/04/2019;2;Buro, Enviqua
QdS Raid;02/04/2019;15/04/2019;2;Buro, Enviqua
QdS Staff;01/05/2019;15/05/2019;2;Com'int, Enviqua
Préparation Vernissage;01/05/2019;01/06/2019;2;Design, Entreprise, Com
RDD3;25/05/2019;15/06/2019;2;Buro, Enviqua
QdS Staff;07/05/2019;19/05/2019;2;Enviqua, Com'Int
Prise de contact pour les 3 WERs;03/09/2018;29/10/2018;2;Buro
