nom;debut;fin;niveau;ressources
sponsoring;;;1;
Réception des rapports de passations, choix des objectifs majeurs de l’année dans le secteur;01/06/2018;31/07/2018;2;
Définition des offres : Construction des paliers et des contreparties;01/08/2018;15/09/2018;2;Trez, Ent
Formation initiale GDA prospection en tant que formés;01/08/2018;15/09/2018;2;
Création des visuels (plaquette sponsors);10/09/2018;30/09/2018;2;Design
Récupération des contacts des deuxièmes années du Raid;15/09/2018;30/09/2018;2;
Récupération des contacts des premières années du Raid;30/09/2018;15/10/2018;2;
Création d’un carnet d’adresses;15/09/2018;15/10/2018;2;
Identification des produits régionaux potentiellement utiles pour le raid (retape locale raid) WER1;21/09/2018;23/09/2018;2;
Identification des produits régionaux potentiellement utiles pour le raid (retape locale raid) WER2;28/09/2018;30/09/2018;2;
Identification des produits régionaux potentiellement utiles pour le raid (retape locale raid) WER3;05/10/2018;07/10/2018;2;
Prospection des entreprises alimentaires et de matériel (retape globale);01/10/2018;01/04/2019;2;
Prise de contact avec des entreprises régionale, demande de rendez-vous (retape locale raid);18/10/2018;28/10/2018;2;
Rendez-vous avec les contacts régionaux (retape locale raid);29/10/2018;02/11/2018;2;
Formation des GPAs du secteur à la prospection;15/10/2018;15/11/2018;2;
Contact des entreprises alimentaires et de matériel en Ile de France (retape locale NND);15/11/2018;28/02/2019;2;
Suivi des sponsors GPAs;15/11/2018;17/05/2019;2;
Bilan de première partie de prospection, redéfinition des objectifs (retapes locale et globale);07/01/2019;11/01/2019;2;Buro
Bilan de la retape alimentaire NND, répartition des produits;11/02/2019;15/02/2019;2;
Répartition des produits alimentaires sponsoring NND;11/02/2019;15/02/2019;2;Log
Répartition des lots du NND;15/02/2019;28/02/2019;2;
Mise en place des contreparties sponsoring NND;15/02/2019;17/03/2019;2;Com
Accueil des sponsors,  vérification que les produits sont bien mis en avant et que les contreparties sont respectées;01/03/2019;02/03/2019;2;
Communication avec les sponsors sur des retours produits du NND;01/03/2019;02/03/2019;2;
Vérification que les sponsors sont satisfaits des contreparties;03/03/2019;17/03/2019;2;
Bilan du NND pour le secteur, indentification d’éléments à améliorer pour le raid;11/03/2019;15/03/2019;2;
Bilan de la retape alimentaire raid;01/04/2019;05/04/2019;2;Buro
Répartition des produits alimentaires sponsoring raid;01/04/2019;05/04/2019;2;Log
Rendez-vous avec des sponsors locaux si nécessaire (retape locale raid);05/04/2019;07/04/2019;2;
Rendez-vous avec des sponsors locaux et recherche de sponsors locaux de dernière minute;17/04/2019;23/04/2019;2;
Répartition les lots du raid;17/04/2019;23/04/2019;2;
Mise en place des contreparties sponsoring raid;08/04/2019;11/05/2019;2;Com
Accueil des sponsors, vérification que les produits sont bien mis en avant et que les contreparties sont respectées;24/04/2019;28/04/2019;2;
Communication avec les sponsors sur des retours produits du raid;24/04/2019;28/04/2019;2;
Vérification que les sponsors sont satisfaits des contreparties;29/04/2019;11/05/2019;2;
Bilan du raid pour le secteur  Sponsoring;13/05/2019;17/05/2019;2;Trez
Rédaction du rapport de passation;29/04/2019;24/05/2019;2;
Livraison du rapport de passation;27/05/2019;07/06/2019;2;
Formation initiale GDA prospection en tant que formateur;01/06/2019;30/06/2019;2;
