"nom";"debut";"fin";"niveau";"ressources"
"Com'Int";;;"1"
"Realisation film asso";"3/9/2018";"13/9/2018";"2";"2"
"Affiche 1ère RdB";"20/8/2017";"5/9/2018";"2";"2"
"Affiche bar spe / BBQ rentree";"20/8/2017";"5/9/2018";"2";"2"
"Semaine d'intÈgration";"2/9/2018";"16/9/2018";"2";"2"
"Compil WER";"17/9/2018";"21/9/2018";"2";"2"
"Compil SER";"16/10/2018";"26/10/2018";"2";"2"
"Article SER";"6/11/2018";"10/11/2018";"2";"2"
"Article NL BdS";"4/12/2018";"8/12/2018";"2";"2"
" NL BdE (Raid)";"5/2/2019";"16/4/2019";"2";"2"
"Compil Raid";"5/2/2019";"20/4/2019";"2";"2"
"Plaquette Alpha";"4/3/2019";"15/4/2019";"2";"2"
"Raidbook staff ";"1/5/2019";"1/6/2019";"2";"2"
"QdS Staff";"1/5/2019";"19/5/2019";"2";"2"
