"nom";"debut";"fin";"niveau";"ressources"
"Community_manager";;;"1"
"Design site externe";"1/7/2018";"30/10/2018";"2";"2"
"Trier base de données";"1/8/2018";"1/11/2018";"2";"2"
"Création plan de com annuel ";"1/9/2018";"30/9/2018";"2";"2"
" Instagram)";"1/8/2018";"31/5/2019";"2";"2"
"Préparation du petit déjeuner entreprises";"1/9/2018";"15/10/2018";"2";"2"
"Benchmark affiches";"1/8/2018";"30/8/2018";"2";"2"
"Réalisation de contenu vidéo (pour les partenaires)";"2/9/2018";"27/5/2019";"2";"2"
"Gestion du wiki";"2/9/2018";"27/5/2019";"2";"2"
"Formations GPA Tweet";"27/9/2018";"27/4/2019";"2";"2"
"Formation Utilisation CMS Site Externe";"6/11/2018";"6/12/2019";"2";"2"
"Recherche parrains et interviews (Prologue & Raid)";"1/10/2018";"25/3/2019";"2";"2"
"Formation par les respos enviqua";"30/10/2018";"26/11/2018";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Stratégie RCS tour";"11/9/2018";"26/11/2018";"2";"2"
"Préparation soirée de lancement";"1/11/2018";"5/12/2018";"2";"2"
"Bandeaux facebook/hyperplanning";"15/11/2018";"30/11/2018";"2";"2"
"Retape Soirée de Lancement";"15/11/2018";"3/12/2018";"2";"2"
"Direct Soirée de lancement";"3/12/2018";"3/12/2018";"2";"2"
"Raid CS Tour";"4/12/2018";"30/3/2019";"2";"2"
"Relance des équipes du raid 2018";"4/12/2018";"30/3/2019";"2";"2"
"Formation respos NND";"14/12/2018";"29/2/2019";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Livret Concurrents Raid";"15/2/2019";"25/3/2019";"2";"2"
"Prospection Raid";"20/2/2019";"16/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Gestion du live tweet";"16/4/2019";"21/4/2019";"2";"2"
"Préparation Vernissage";"1/5/2019";"1/6/2019";"2";"2"
"Raidbook";"1/5/2019";"1/6/2019";"2";"2"
"Rapport de passation";"16/5/2018";"30/6/2019";"2";"2"
" logisique)";"28/5/2019";"5/6/2019";"2";"2"
"Réalisation de teasers pour la com' extérieure";"5/11/2018";"1/4/2019";"2";"2"
"Préparation cérém' NND";"8/1/2018";"26/2/2019";"2";"2"
"Préparation des cérém' du raid";"19/3/2018";"27/4/2019";"2";"2"
"Formations respos NND";"14/12/2018";"29/2/2019";"2";"2"
"Préparation CDMGE";"1/5/2019";"5/6/2019";"2";"2"
