"nom";"debut";"fin";"niveau";"ressources"
"Inclusion";;;"1"
" leur transmettre dates";"1/7/2018";"31/8/2018";"2";"2"
"Se renseigner sur les concours";"1/8/2018";"30/9/2018";"2";"2"
" étudiantes ou non";"1/7/2018";"30/9/2018";"2";"2"
"Contact et rdv avec Husson";"31/8/2018";"30/9/2018";"2";"2"
"Mettre à jour une base de données d'handisportifs ayant participé à d'autres évènements et qui seraient chauds (contact avec autres assos)";"10/9/2018";"30/12/2018";"2";"2"
"Gérer la communication sur l'inclusion sur le site externe";"10/9/2018";"1/11/2018";"2";"2"
"Reloutage des partenaires et si possible signature d'une convention";"1/10/2018";"30/11/2018";"2";"2"
" et prévoir repérage handisportifs";"30/10/2018";"30/11/2018";"2";"2"
"Prendre contact pour l'organisation d'une formation avant le NND";"1/10/2018";"30/12/2018";"2";"2"
"Journées de la Fédéeh";"14/10/2018";"27/1/2019";"2";"2"
"Réalisation vidéo Tous Hanscène";"6/11/2018";"10/1/2019";"2";"2"
"Rencontre avec les sportifs dans les locaux des associations partenaires";"1/12/2018";"20/1/2018";"2";"2"
"Commencer à finaliser les inscriptions et organiser rencontres entre les futurs coéquipiers";"1/12/2018";"20/1/2018";"2";"2"
"Organiser entraînements avec les équipes mixtes inscrites (test matériel et cohésion)";"1/1/2019";"16/2/2019";"2";"2"
