"nom";"debut";"fin";"niveau";"ressources"
"MCDEIC";;;"1"
"Politique et orientations";"30/5/2018";"25/9/2018";"2";"2"
"Cartes de visite";"1/8/2018";"15/9/2018";"2";"2"
"Auditeur interne";"1/9/2018";"30/10/2018";"2";"2"
"Préparation de la SdL";"1/9/2018";"30/11/2018";"2";"2"
"Définition des objectifs et missions de la presse";"1/9/2018";"31/9/2018";"2";"2"
"Plaquette et catalogue entreprises";"20/9/2018";"1/11/2018";"2";"2"
"reprendre l'organisation des onglets du site interne";"1/9/2018";"1/10/2018";"2";"2"
"Prise de contact avec les différents partenaires potentiels - Inclusion";"1/8/2018";"30/11/2018";"2";"2"
"Présentation des prestations médias pour les entreprises";"3/9/2018";"29/10/2018";"2";"2"
"M/ Courau";"1/10/2018";"30/10/2018";"2";"2"
"Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day)";"1/9/2018";"30/9/2018";"2";"2"
"Préparation du petit déjeuner entreprises";"1/9/2018";"15/10/2018";"2";"2"
"Planning qualité";"1/10/2018";"15/10/2018";"2";"2"
"Recherche parrains et interviews (NND & Raid)";"1/10/2018";"25/3/2019";"2";"2"
"Gérer le sponsoring des activités du NND";"1/10/2018";"1/2/2019";"2";"2"
"Mise à jour des règlements (NND et Raid)";"16/10/2018";"16/11/2018";"2";"2"
"Affiche NND";"15/10/2018";"1/12/2018";"2";"2"
"Affiche du Raid";"15/10/2018";"1/12/2018";"2";"2"
"Logo de l'édition";"15/10/2018";"1/12/2018";"2";"2"
"RDD1";"30/10/2018";"15/11/2018";"2";"2"
"Bilan Carbone";"15/9/2018";"15/6/2019";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Bandeaux facebook/lydia/?";"15/11/2018";"30/12/2018";"2";"2"
"Flyers Raid/NND";"15/10/2018";"1/12/2018";"2";"2"
"Vérifier exigences du NND";"1/12/2018";"25/2/2019";"2";"2"
"Choix définitif des entreprises - prestataires (Night N'Day)";"1/12/2018";"31/12/2018";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Roadbook NND";"1/1/2019";"15/2/2019";"2";"2"
"Choix définitif des projets - dév événementiel (RAID)";"1/1/2019";"13/1/2019";"2";"2"
"Gérer les sponsoring des activités du Raid";"1/11/2018";"1/4/2019";"2";"2"
"Livrets Concs NND";"29/1/2019";"10/2/2019";"2";"2"
"QdS du Night N'Day";"1/2/2019";"14/2/2019";"2";"2"
"NND";"1/3/2019";"2/3/2019";"2";"2"
"Nomination Respos VIP";"1/2/2019";"4/3/2019";"2";"2"
"Nomination Respos Jour";"11/1/2019";"14/3/2019";"2";"2"
"Livret Concs Raid";"15/2/2019";"20/4/2019";"2";"2"
"Actis Journée environnement ";"19/2/2019";"14/4/2019";"2";"2"
"RDD2";"26/2/2019";"10/3/2019";"2";"2"
"Vérifier exigences du Raid";"28/2/2019";"25/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Audit externe";"17/2/2019";"7/4/2019";"2";"2"
"QdS Raid";"2/4/2019";"15/4/2019";"2";"2"
"PréRaid + RAID";"20/4/2019";"29/4/2019";"2";"2"
"RDD3";"25/5/2019";"15/6/2019";"2";"2"
