"nom";"debut";"fin";"niveau";"ressources"
"Media";;;"1"
"Réalisation film asso";"1/8/2018";"9/9/2018";"2";"2"
"Réalisation de contenu vidéo pour les partenaires";"2/9/2018";"27/5/2019";"2";"2"
"Relations avec Hyris et Pics";"3/9/2018";"1/6/2019";"2";"2"
"Présentation des prestations médias pour les entreprises";"3/9/2018";"29/10/2018";"2";"2"
" WEN///)";"3/9/2018";"1/5/2018";"2";"2"
"Formation Utilisation CMS Site Externe";"6/11/2018";"6/12/2019";"2";"2"
"Finaliser l'animation du logo du Raid";"19/9/2018";"1/3/2019";"2";"2"
"Réalisations de vidéos pour la SdL";"1/10/2018";"23/11/2018";"2";"2"
"réalisation de vidéo courtes pour les concurrentes";"1/11/2018";"1/2/2019";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Réalisation du générique NND";"31/10/2018";"1/3/2019";"2";"2"
"Réalisation de teasers pour la com' extérieure";"5/11/2018";"1/4/2019";"2";"2"
"Réalisation vidéo Tous Hanscène";"6/11/2018";"10/1/2019";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Préparation cérém' NND";"8/1/2018";"26/2/2019";"2";"2"
"Réalisation du générique Raid";"1/3/2018";"23/4/2019";"2";"2"
"Préparation des cérém' du Raid";"19/3/2018";"27/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Mise à jour site externe";"1/9/2018";"1/6/2019";"2";"2"
