"nom";"debut";"fin";"niveau";"ressources"
"Trez";;;"1"
"Politique et orientations";"30/5/2018";"25/9/2018";"2";"2"
"Auditeur interne";"1/9/2018";"30/10/2018";"2";"2"
"Prise de contact avec les différents partenaires potentiels - Inclusion";"1/8/2018";"30/11/2018";"2";"2"
"Présentation des prestations médias pour les entreprises";"3/9/2018";"29/10/2018";"2";"2"
"Préparation WER";"16/6/2018";"7/10/2018";"2";"2"
"M/ Courau";"1/10/2018";"30/10/2018";"2";"2"
"Planning qualité";"1/10/2018";"15/10/2018";"2";"2"
"Gérer le sponsoring des activités du NND";"1/10/2018";"1/2/2019";"2";"2"
"Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day)";"1/9/2018";"30/9/2018";"2";"2"
"Préparation SER";"8/10/2018";"27/10/2018";"2";"2"
"Lancement audit externe";"15/10/2018";"15/12/2018";"2";"2"
"Mise à jour des réglements (Night N'Day et Raid)";"15/10/2018";"15/11/2018";"2";"2"
" plaquette dédiée";"15/10/2018";"1/12/2018";"2";"2"
"Affiche du Raid";"15/10/2018";"1/12/2018";"2";"2"
"RDD1";"30/10/2018";"15/11/2018";"2";"2"
"Bilan Carbone";"15/9/2018";"15/6/2019";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Vérifier exigences du NND";"1/12/2018";"25/2/2019";"2";"2"
"Choix définitif des entreprises - prestataires (Night N'Day)";"1/12/2018";"31/12/2018";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Choix définitif des projets - dév événementiel (RAID)";"1/1/2019";"13/1/2019";"2";"2"
"Gérer les sponsoring des activités du Raid";"1/11/2018";"1/4/2019";"2";"2"
"Matériel Iti";"7/1/2019";"1/4/2019";"2";"2"
"Préparation du QdS du Night N'Day";"1/2/2019";"14/2/2019";"2";"2"
"Nomination Respos Jour";"11/1/2019";"14/3/2019";"2";"2"
"Journée environnement - Réfléchir aux actis à faire sur la journée environnement/ A voir avec l'entreprise et le partenaire environnement/";"18/2/2019";"15/4/2019";"2";"2"
"RDD2";"26/2/2019";"10/3/2019";"2";"2"
"Vérifier exigences du Raid";"28/2/2019";"25/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Audit externe";"17/2/2019";"7/4/2019";"2";"2"
"QdS";"3/4/2019";"15/4/2019";"2";"2"
"RDD3";"25/5/2019";"15/6/2019";"2";"2"
