nom;debut;fin;niveau;ressources
Achats;;;1;
Faire des achats sur demande des autres secteurs;06/10/2018;06/10/2019;2;
Achats de toners NND;02/11/2019;02/15/19;2;POLIS
Achats de toners Raid;04/06/2018;04/10/2019;2;POLIS
Carte de visite;01/08/2018;15/09/2019;2;Design
Bracelets;30/06/2018;03/09/2018;2;Design
Polo;30/06/2018;03/09/2018;2;Design
Polaires;01/11/2018;09/02/2019;2;Design
Parkas;01/11/2018;09/02/2019;2;Design, Entreprise
T-shirt staff;01/12/2018;31/01/2019;2;Design, Entreprise
Opinel;01/07/2018;31/01/2019;2;Design
T-shirt finisher NND;01/12/2018;31/01/2019;2;Design, Entreprise
Dossard NND;01/12/2018;31/01/2019;2;Design
Plaque VTT NND;01/12/2018;31/01/2019;2;Design
Dossard RAID;28/02/2019;11/04/2019;2;Design, Entreprise
Sac actifun RAID;01/02/2019;01/04/2019;2;Entreprise
T-shirt finisher RAID;28/02/2019;11/04/2019;2;Design, Entreprise
Buff;02/07/2019;04/11/2019;2;Entreprise
Plaque VTT Raid;04/04/2019;04/11/2019;2;Design
Matériel iti;07/01/2019;01/04/2019;2;Iti
