nom;debut;fin;niveau;ressources
Entreprise;;;1;
DÈbriefings (première sÈrie de RDV);01.06.2018;01.10.2018;2;
Prise de contact avec les diffÈrents partenaires potentiels - Inclusion;01.08.2018;30.11.2018;2;
Recherche de sponsors;03.09.2018;01.04.2019;2;Log
Diapo de prospection;11.06.2018;01.10.2018;2;
Recherche de nouveaux partenaires;11.06.2018;01.06.2019;2;
Plaquette et catalogue entreprise;20.09.2018;01.11.2018;2;VP MCDEC, Design
Gestion rÈseau LinkedIn;03.09.2018;01.06.2019;2;Com
Planning amphi de prÈsentation;11.06.2018;01.06.2018;2;
PrÈparation Diner Club Esprit Raid;03.09.2018;01.11.2018;2;Design
PrÈparation du petit dejeuner entreprises;01.09.2018;05.10.2018;2;VP MCDEC, Com, Design
RÈalisation d'une vidÈo de prospection, interview de Rh et de concurrents--> Profiter des Rdv dÈbriefing, DCER;01.06.2018;01.06.2019;2;Media, Com
Infos entreprise sur le site externe;03.09.2018;01.06.2019;2;Info
Finalisation de l'offre et signature des contrats (2ème sÈrie de RDV);03.09.2018;01.02.2018;2;
Parkas;24.10.2018;01.01.2019;2;Design, Achats
GÈrer le sponsoring des activitÈs du NND;01.10.2018;01.02.2019;2;POLIS,VP MCDEC, Trez, DÈv ÈvÈnementiel
PrÈparation audit interne;15.10.2018;07.01.2019;2;Enviqua, Tous
PrÈparation soirÈe de lancement;01.11.2018;01.12.2018;2;Design, Concurrents, Com
T-shirt finisher NND;01.12.2018;01.02.2019;2;Design, Achats
Dossard+ t-shirt meilleure Èquipe Ètudiante RAID;03.09.2018;01.04.2019;2;Design, Achats, Concurrents
Roadbook NND;01.01.2019;15.02.2019;2;Prez, Design, Concs, Enviqua
Audit interne;01.01.2019;10.01.2019;2;Enviqua, Tous
Livret Concs NND;29.01.2019;10.02.2019;2;Prez, Com, Concs, Enviqua, Design
GÈrer les sponsoring des activitÈs du Raid;01.11.2018;01.04.2019;2;POLIS, MCDEC, Trez, DÈv ÈvÈnementiel
JournÈe environnement - RÈflÈchir aux actis;19.02.2019;14.04.2019;2;Enviqua, Buro
PrÈparation NND (Vips et Respos Vips);01.02.2019;04.03.2019;2;
Dossard NND;01.01.2019;01.02.2019;2;Design, Achats, Concurrents
Sac actifun RAID;01.02.2019;01.04.2019;2;Achats
PrÈparation deuxième Diner Club Esprit Raid;01.02.2019;01.04.2019;2;Design
Livret Concs Raid;15.02.2019;15.03.2019;2;Prez, Com, Concs, Enviqua, Design
PrÈparation du Raid;01.03.2019;01.05.2019;2;
T-shirt finisher RAID;01.02.2019;01.04.2019;2;Design, Achats, Concurrents
Buff;01.03.2019;01.04.2019;2;Achats
PrÈparer commande Èco-tasses/couverts - modalitÈs du partenariat environnement;01.03.2019;01.04.2019;2;Enviqua, Achats
PrÈparation audit externe;01.03.2019;01.04.2019;2;Tous, Enviqua
DÈbriefings annÈe 2019;01.05.2019;01.10.2019;2;
PrÈparation Vernissage;01.05.2019;01.06.2019;2;Design, Com, Sec'Gen
PrÈparation CDMGE  (prospection, logistique);01.05.2019;01.06.2019;2;Com, Log
Gestion de la ML mail@raidcs.com;01.09.2018;25.05.2019;2;Entreprise
