nom;debut;fin;niveau;ressources
Inno;;;1;
Réfléxion sur les actis du village NND;20.06.2018;30.09.2018;2;
choix projets professionalisation village NND;20.06.2018;30.09.2018;2;
Gestion wiki;02.09.2018;27.05.2019;2;Info, Com'int, Com
sélection définitive des idées à mettre en œuvre au NND;30.09.2018;10.10.2018;2;
choix des entreprises/prestataires pour NND;10.10.2018;10.11.2018;2;
Préparation Audit Interne;15.10.2018;07.01.2019;2;Tous
validation des ent/presta.;10.11.2018;20.11.2018;2;
finalisation de l'organisation du NND;10.11.2018;20.02.2019;2;
Bilan de faisabilité et avancée NND;01.11.2018;15.01.2019;2;
Réfléxion/mise en oeuvre sur la JVIP;01.10.2018;01.12.2018;2;
Gestion respos JVIP;01.12.2018;28.04.2019;2;
sélection définitive des idées pour le RAID;10.12.2018;15.12.2018;2;
choix des entreprises/presta et retape pour le RAID;15.12.2018;01.01.2019;2;
Audit Interne;01.01.2019;20.01.2019;2;Tous
Préparation audit externe;17.02.2019;07.04.2019;2;Tous
bilan de faisabilité et avancée RAID;03.03.2019;20.04.2019;2;
CR , retour , rapport de passation;16.05.2018;30.06.2019;2;
choix des projets pour le RAID;20.06.2018;10.12.2018;2;
Réfléxion/mise en oeuvre sur la journée environnement;01.07.2018;01.12.2018;2;
