nom;debut;fin;niveau;ressources
Prez;;;1;
Politique et orientations;02.06.2018;25.09.2018;2;Buro, Enviqua
Auditeur interne;01.09.2018;30.10.2018;2;Buro, Enviqua
Prise de contact avec les différents partenaires potentiels - Inclusion;01.08.2018;30.11.2018;2;Buro, Inclusion, Ent
Présentation des prestations médias pour les entreprises;03.09.2018;29.10.2018;2;Buro, Media
M. Courau;01.10.2018;30.10.2018;2;Buro, Enviqua
Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day);01.09.2018;30.09.2018;2;Buro, Dév événementiel
Planning qualité;01.10.2018;15.10.2018;2;Buro, Enviqua
Mise à jour des règlements (Night N'Day et Raid);16.10.2018;16.11.2018;2;Buro, Concurrents
Affiche NND;15.10.2018;01.12.2018;2;Design, Buro
Affiche du Raid;15.10.2018;01.12.2018;2;Design, Buro
Lancement audit externe;15.11.2018;15.12.2018;2;Trez, Enviqua
RDD1;30.10.2018;15.11.2018;2;Buro
Bilan Carbone;30.10.2018;18.05.2019;2;Buro, Enviqua
Préparation audit interne;15.10.2018;07.01.2019;2;Enviqua, Tous
Vérifier exigences du NND;01.12.2018;19.02.2019;2;Enviqua, Sécu, Buro
Choix définitif des entreprises - prestataires (Night N'Day);01.12.2018;20.12.2018;2;Buro, Dév événementiel
Audit interne;01.01.2018;10.01.2019;2;Enviqua, Tous
Choix définitif des projets - dév événementiel (RAID);01.01.2019;08.01.2019;2;Buro, Dév événementiel
Roadbook Night N'Day;01.01.2019;15.02.2019;2;VP MCDEC, Design, RESPOS (TdN, jour, nuit, CO, actifun), Entreprise, Concs, Enviqua
QdS NND;01.02.2019;14.02.2019;2;Enviqua, Info, Buro, Concurrents
Nomination Respos Jour;11.01.2019;04.03.2019;2;Log, Buro, Iti
Livret Concurrents Raid;15.02.2019;25.03.2019;2;VP MCDEC, Com, Concurrents,  Enviqua, Entreprise, Design
Journée environnement;19.02.2019;14.04.2019;2;Buro, Enviqua, Entreprise
RDD2;26.02.2019;10.03.2019;2;Buro, Enviqua
Vérifier exigences du Raid;28.02.2019;25.04.2019;2;Enviqua, Sécu, Buro
Préparation audit externe;13.03.2019;31.03.2019;2;Tous, Enviqua
Audit externe;17.02.2019;07.04.2019;2;Buro, Enviqua
QdS Raid;02.04.2019;15.04.2019;2;Buro, Enviqua
RDD3;25.05.2019;15.06.2019;2;Buro, Enviqua
