nom;debut;fin;niveau;ressources
Trez;;;1;
Politique et orientations;30.05.2018;25.09.2018;2;Buro, Enviqua
Auditeur interne;01.09.2018;30.10.2018;2;VP MCDEC, Buro, Enviqua
Prise de contact avec les différents partenaires potentiels - Inclusion;01.08.2018;30.11.2018;2;Buro, Inclusion
Présentation des prestations médias pour les entreprises;03.09.2018;29.10.2018;2;Buro, Media
Préparation WER;16.06.2018;7.10.2018;2;Enviqua
M. Courau;01.10.2018;30.10.2018;2;Buro, Enviqua
Planning qualité;01.10.2018;15.10.2018;2;Buro, Enviqua
Gérer le sponsoring des activités du NND;01.10.2018;31.01.2019;2;POLIS, MCDEC, Dév événementiel, Entreprise
Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day);01.09.2018;30.09.2018;2;Buro, Dév événementiel
Préparation SER;08.10.2018;21.10.2018;2;Enviqua
Lancement audit externe;15.10.2018;15.11.2018;2;Prez, Enviqua
Mise à jour des réglements (Night N'Day et Raid);15.10.2018;15.11.2018;2;Buro, Concurrents
Affiche NND, plaquette dédiée;15.10.2018;01.12.2018;2;Design, Buro
Affiche du Raid;15.10.2018;10.11.2018;2;Design, Buro
RDD1;30.10.2018;15.11.2018;2;Buro, Enviqua
Bilan Carbone;30.10.2018;19.05.2019;2;Buro, Enviqua
Préparation audit interne;30.10.2018;27.11.2018;2;Enviqua, Tous
Vérifier exigences du NND;01.12.2018;25.02.2019;2;Enviqua, Sécu, Buro
Choix définitif des entreprises - prestataires (Night N'Day);01.12.2018;31.12.2018;2;Buro, Dév événementiel
Audit interne;15.12.2018;10.01.2019;2;Enviqua, Tous
Choix définitif des projets - dév événementiel (RAID);01.01.2019;13.01.2019;2;Buro, Dév événementiel
Gérer les sponsoring des activités du Raid;01.01.2019;01.03.2019;2;POLIS, MCDEC, Dév événementiel, Entreprise
Matériel Iti;07.01.2019;01.04.2019;2;Achats, Iti
Préparation du QdS du Night N'Day;01.02.2019;14.02.2019;2;Enviqua, Info, Buro, Concurrents
Nomination Respos Jour;11.02.2019;04.03.2019;2;Log, Buro, Iti
Journée environnement - Réfléchir aux actis à faire sur la journée environnement. A voir avec l'entreprise et le partenaire environnement.;18.02.2019;15.04.2019;2;Buro, Enviqua, Entreprise, Inno
RDD2;26.02.2019;10.03.2019;2;Buro, Enviqua
Vérifier exigences du Raid;28.02.2019;25.04.2019;2;Enviqua, Sécu, Buro
Préparation audit externe;13.03.2019;31.03.2019;2;Tous, Enviqua
Audit externe;26.03.2019;07.04.2019;2;Buro, Enviqua
QdS;03.04.2019;15.04.2019;2;Buro, Enviqua
RDD3;25.05.2019;15.06.2019;2;Buro, Enviqua
