nom;debut;fin;niveau;ressources
Planning;;;1;
Récupération des plannings des secteurs;08.06.2018;16.09.2018;2;
Harmonisation des tâches du macroplanning;17.09.2017;30.09.2018;2;
Réalisation macroplanning pour le site interne;01.10.2018;08.10.2018;2;Info
Version papier du macroplanning (Gantt);08.10.2018;31.10.2018;2;Design
Améliorer l'intégration du planning sur le site interne;01.11.2018;31.12.2018;2;
Prise en main d'Access;01.11.2018;31.12.2018;2;
Actualiser les données des staffeurs, rôles spécifiques de certains;01.01.2019;31.01.2019;2;
Nomination aides-planning NND;10.01.2019;31.01.2019;2;
Tableau des tâches des respos jour/nuit NND;20.01.2019;25.02.2019;2;Respos Jour/Nuit
Préparation planning du NND;25.02.2019;28.02.2019;2;
Impression et distribution des plannings NND;25.02.2019;28.02.2019;2;
Tableau des respos sur le Raid, rôles spécifiques;03.03.2019;31.03.2019;2;Sec'Gen
Nomination aides-planning Raid;14.03.2019;04.04.2019;2;
Préparation planning pré-Raid;13.04.2019;23.04.2019;2;
Gérer les fiches planning du Raid;23.04.2019;28.04.2019;2;
Préparation passation;29.04.2019;01.06.2019;2;
