"nom";"debut";"fin";"niveau";"ressources"
"relation_presse";;;"1"
"Design site externe";"1/7/2018";"30/10/2018";"2";"2"
"Trier base de données";"1/8/2018";"1/11/2018";"2";"2"
"Benchmark affiches";"1/8/2018";"30/8/2018";"2";"2"
"Recherche parrains et interviews (NND & Raid)";"1/10/2018";"25/3/2019";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Rapport de passation";"16/5/2018";"30/6/2019";"2";"2"
"Recherche contacts presse";"1/9/2019";"30/9/2010";"2";"2"
"Rédaction des communiqués de presse ";"1/9/2019";"30/9/2010";"2";"2"
"Définition des objectifs et missions Presse";"1/9/2019";"30/9/2010";"2";"2"
"Choix des documents de présentation de l'asso aux organismes de presse";"1/9/2019";"30/9/2010";"2";"2"
"Retape journalistes et organismes de presse";"1/9/2019";"30/9/2010";"2";"2"
"Contact autres associations à événement sportif (recherche de référence)";"1/9/2019";"30/9/2010";"2";"2"
" Etudiant)";"1/9/2019";"30/9/2010";"2";"2"
"Article SdL";"1/12/2019";"30/12/2019";"2";"2"
"Rédaction trame interviews";"1/12/2019";"30/12/2019";"2";"2"
"Rédaction anticipée articles de presse NND";"1/1/2019";"30/1/2019";"2";"2"
"Tournage interviews NND";"1/1/2019";"30/1/2019";"2";"2"
"Rédaction anticipée articles presse Raid";"1/3/2019";"30/3/2019";"2";"2"
"Tournage interviews Raid";"1/3/2019";"30/3/2019";"2";"2"
