"nom";"debut";"fin";"niveau";"ressources"
"Iti";;;"1"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Entrainement avec les équipes mixtes inscrites (test matériel et cohésion)";"1/1/2019";"16/2/2019";"2";"2"
"Formation ouvreurs et balisage";"1/1/2019";"17/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"NND";"1/3/2019";"2/3/2019";"2";"2"
"Plaquette Iti";"1/11/2018";"10/11/2018";"2";"2"
"Inventaire -1 F";"8/6/2017";"10/9/2018";"2";"2"
" jours";"4/3/2019";"25/4/2019";"2";"2"
"Formation Respos Jour à Carto (Raid)";"4/3/2019";"11/3/2019";"2";"2"
"Exploitation CRs SER";"4/11/2018";"15/11/2018";"2";"2"
"WER 3 GPA";"5/10/2018";"7/10/2018";"2";"2"
"Premier tracé du Raid pour la sécu";"5/11/2018";"22/12/2018";"2";"2"
"Préparation du WERA";"6/11/2018";"23/11/2018";"2";"2"
"Devis actifuns";"6/11/2018";"25/11/2018";"2";"2"
"Formation logiciel de timing/Carto";"6/11/2018";"10/2/2019";"2";"2"
"Timings et résumés des journées";"6/11/2018";"4/3/2019";"2";"2"
"Prévoir le matériel à acheter/louer/emprunter";"7/1/2019";"13/4/2019";"2";"2"
"Organisation WER1";"7/6/2018";"23/9/2018";"2";"2"
"Organisation WER2";"7/6/2018";"30/9/2018";"2";"2"
"Organisation WER3";"7/6/2018";"7/10/2018";"2";"2"
"Choix du lieu";"8/10/2018";"15/10/2018";"2";"2"
"Formation Openrunner du secteur/ Choix réfléchi des itis à tracer pour les GPAs";"9/10/2018";"26/10/2018";"2";"2"
"Signature contrats Prestataires";"9/12/2018";"23/4/2018";"2";"2"
"Nomination Respos Jour & Nuit";"11/1/2019";"4/3/2019";"2";"2"
"Organisation SER";"12/10/2018";"26/10/2018";"2";"2"
"Préparation de la soirée de lancement";"12/11/2018";"3/12/2018";"2";"2"
"Formation respos Night'N Day";"14/12/2018";"29/2/2019";"2";"2"
"Refonte du template WER";"15/6/2018";"1/9/2018";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Réalisation d'itis sur le lieux choisi";"15/10/2018";"28/10/2018";"2";"2"
"Préparation du panneau concurrents";"16/4/2018";"23/4/2019";"2";"2"
"Organisation WERP";"19/2/2019";"15/4/2019";"2";"2"
"V0 itis NND";"20/6/2018";"30/7/2018";"2";"2"
"Formation CR-Reco";"21/9/2018";"28/10/2018";"2";"2"
"WER 1 GPA";"21/9/2018";"23/9/2018";"2";"2"
"Exploitation des CRs des WERs";"23/9/2018";"26/10/2018";"2";"2"
"Raid";"24/4/2019";"28/4/2019";"2";"2"
"Préparation contrats actifuns";"25/11/2018";"10/2/2019";"2";"2"
"SER";"26/10/2018";"4/11/2018";"2";"2"
"Choix des lieux de WERs";"27/6/2018";"29/6/2018";"2";"2"
"WER 2 Vieux ";"28/9/2018";"30/9/2018";"2";"2"
"Sélection des campings";"28/10/2018";"15/11/2018";"2";"2"
"Définir les spéciales";"28/10/2018";"4/3/2018";"2";"2"
"Revoir l'itinéraire / prévoir repérage handisportifs";"30/10/2018";"30/11/2018";"2";"2"
"V1 iti NND ";"5/11/2017";"1/12/2018";"2";"2"
