"nom";"debut";"fin";"niveau";"ressources"
"Log";;;"1"
"Inventaire -1 F";"8/6/2017";"10/9/2018";"2";"2"
"Demarchage supermarchés Saclay";"2/9/2018";"10/9/2018";"2";"2"
"Organisation WER1";"7/6/2018";"23/9/2018";"2";"2"
"Réservation gîte WER1";"15/6/2018";"30/7/2018";"2";"2"
"Commande de nourriture WER1";"28/8/2018";"20/9/2018";"2";"2"
"Organisation WER2";"7/6/2018";"30/9/2018";"2";"2"
"Réservation gîte WER2";"15/6/2018";"7/8/2018";"2";"2"
"Commande de nourriture WER2";"7/9/2018";"28/9/2018";"2";"2"
"Organisation WER3";"7/6/2018";"7/10/2018";"2";"2"
"Réservation gîte WER3";"15/6/2018";"15/8/2018";"2";"2"
"Commande de nourriture WER3";"15/9/2018";"5/10/2018";"2";"2"
"Liste des campings et des salles au sec";"15/6/2018";"6/10/2018";"2";"2"
"Plaquette log-enviqua";"1/7/2018";"10/10/2018";"2";"2"
"Test matos";"1/9/2018";"1/4/2019";"2";"2"
"SMI";"1/9/2018";"15/6/2019";"2";"2"
"Carnet de bord";"1/9/2018";"15/6/2019";"2";"2"
"Choix du lieu";"8/10/2018";"15/10/2018";"2";"2"
"Liste des supermarchés Raid";"12/10/2018";"30/11/2018";"2";"2"
"Organisation SER";"12/10/2018";"26/10/2018";"2";"2"
"Sélection des campings";"28/10/2018";"15/11/2018";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Préparation du WERA";"6/11/2018";"23/11/2018";"2";"2"
"WERA : Devis camping";"6/11/2018";"24/11/2018";"2";"2"
"WERA : Devis salles au sec";"6/11/2018";"24/11/2018";"2";"2"
"Devis traiteur ";"6/11/2018";"21/12/2018";"2";"2"
" respo camp";"6/11/2018";"22/2/2019";"2";"2"
"Contrat D'Aucy";"15/11/2018";"15/3/2019";"2";"2"
"Réservations navettes";"15/11/2018";"31/3/2019";"2";"2"
"Rachat matos";"1/12/2018";"31/1/2019";"2";"2"
"Commande bouffe NND";"15/2/2019";"29/2/2019";"2";"2"
"Contrats campings + salles au sec";"1/12/2018";"31/1/2019";"2";"2"
"Formation Respos NND";"14/12/2018";"29/2/2019";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
" cam et camion frigo";"2/1/2019";"31/3/2019";"2";"2"
"Commande bouffe Raid";"1/4/2019";"15/4/2019";"2";"2"
"Finalisation recrutement et transport des kinés";"1/2/2019";"10/4/2019";"2";"2"
"Nomination Respos Jour & Nuit";"11/1/2019";"4/3/2019";"2";"2"
"Organisation WERP";"19/2/2019";"15/4/2019";"2";"2"
"Formation Respos Raid";"10/3/2019";"10/4/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Rendez-vous Supermarché (WERP)";"16/3/2019";"19/3/2019";"2";"2"
"Classeur Log";"20/3/2019";"7/4/2019";"2";"2"
"Audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Dépôt bouffe campings Raid";"18/4/2019";"23/4/2019";"2";"2"
"Remerciements + lettres de recommandation";"3/5/2019";"30/5/2019";"2";"2"
"Cloture du dossier Avis";"3/5/2019";"1/6/2019";"2";"2"
"Rachat matos post-Raid";"3/5/2019";"15/6/2019";"2";"2"
"Adapter les quantités en fonction des fiches retour";"3/5/2019";"15/6/2019";"2";"2"
"Préparation CDMGE (Logistique)";"1/5/2019";"5/6/2019";"2";"2"
