"nom";"debut";"fin";"niveau";"ressources"
"Ouvreurs";;;"1"
"Organisation WER1";"7/6/2018";"23/9/2018";"2";"2"
"Organisation WER3";"7/6/2018";"7/10/2018";"2";"2"
"Inventaire -1 F";"8/6/2017";"10/9/2018";"2";"2"
"Participation aux repérages du RAID";"21/9/2018";"17/4/2019";"2";"2"
"Décider/Préparer des vidéos réparation vélo pour les concurrents";"10/10/2018";"17/2/2019";"2";"2"
"Choix du lieu";"8/10/2018";"15/10/2018";"2";"2"
"Achat/Création de kits de réparation pour les vélos";"15/10/2018";"26/10/2018";"2";"2"
"Préparation audit interne";"15/10/2018";"7/1/2019";"2";"2"
"Revoir l'itinéraire / prévoir repérage handisportifs";"30/10/2018";"30/11/2018";"2";"2"
"V1 iti NND ";"5/11/2017";"1/12/2018";"2";"2"
"Retour Repérage v0 pour v1";"1/12/2018";"4/12/2018";"2";"2"
"Choix des ouvreurs pour le NND";"1/12/2017";"31/1/2019";"2";"2"
"Proposer des entrainements VTT/Trail pour les futurs ouvreurs";"1/12/2017";"17/4/2019";"2";"2"
"Audit interne";"1/1/2018";"7/4/2019";"2";"2"
"Formation ouvreurs et balisage";"1/1/2019";"17/4/2019";"2";"2"
"Entrainement avec les équipes mixtes inscrites (test matériel et cohésion)";"1/1/2019";"16/2/2019";"2";"2"
"Organiser le trail de cohésion";"3/1/2019";"15/1/2019";"2";"2"
"Achat de balises + sacs de balisage";"3/12/2018";"28/2/2019";"2";"2"
"Choix des ouvreurs du RAID";"1/2/2018";"31/3/2019";"2";"2"
"Gérer les ouvreurs sur le NND";"1/3/2019";"2/3/2019";"2";"2"
"Préparation audit externe";"17/2/2019";"7/4/2019";"2";"2"
"Gestion des ouvreurs ";"17/4/2019";"21/4/2019";"2";"2"
"Gestion des VTTs";"17/4/2019";"21/4/2019";"2";"2"
"Gestion du balisage";"17/4/2019";"21/4/2019";"2";"2"
"Choix du lieu";"8/10/2018";"15/10/2018";"2";"2"
