"nom";"debut";"fin";"niveau";"ressources"
"Sponsoring";;;"1"
" choix des objectifs majeurs de l’année dans le secteur";"1/6/2018";"31/7/2018";"2";"2"
"Définition des offres : Construction des paliers et des contreparties";"1/8/2018";"15/9/2018";"2";"2"
"Formation initiale GDA prospection en tant que formés";"1/8/2018";"15/9/2018";"2";"2"
"Création des visuels (plaquette sponsors)";"10/9/2018";"30/9/2018";"2";"2"
"Récupération des contacts des deuxièmes années du Raid";"15/9/2018";"30/9/2018";"2";"2"
"Récupération des contacts des premières années du Raid";"30/9/2018";"15/10/2018";"2";"2"
"Création d’un carnet d’adresses";"15/9/2018";"15/10/2018";"2";"2"
"Identification des produits régionaux potentiellement utiles pour le raid (retape locale raid) WER1";"21/9/2018";"23/9/2018";"2";"2"
"Identification des produits régionaux potentiellement utiles pour le raid (retape locale raid) WER2";"28/9/2018";"30/9/2018";"2";"2"
"Identification des produits régionaux potentiellement utiles pour le raid (retape locale raid) WER3";"5/10/2018";"7/10/2018";"2";"2"
"Prospection des entreprises alimentaires et de matériel (retape globale)";"1/10/2018";"1/4/2019";"2";"2"
" demande de rendez-vous (retape locale raid)";"18/10/2018";"28/10/2018";"2";"2"
"Rendez-vous avec les contacts régionaux (retape locale raid)";"29/10/2018";"2/11/2018";"2";"2"
"Formation des GPAs du secteur à la prospection";"15/10/2018";"15/11/2018";"2";"2"
"Contact des entreprises alimentaires et de matériel en Ile de France (retape locale NND)";"15/11/2018";"28/2/2019";"2";"2"
"Suivi des sponsors GPAs";"15/11/2018";"17/5/2019";"2";"2"
" redéfinition des objectifs (retapes locale et globale)";"7/1/2019";"11/1/2019";"2";"2"
" répartition des produits";"11/2/2019";"15/2/2019";"2";"2"
"Répartition des produits alimentaires sponsoring NND";"11/2/2019";"15/2/2019";"2";"2"
"Répartition des lots du NND";"15/2/2019";"28/2/2019";"2";"2"
"Mise en place des contreparties sponsoring NND";"15/2/2019";"17/3/2019";"2";"2"
"  vérification que les produits sont bien mis en avant et que les contreparties sont respectées";"1/3/2019";"28/4/2019";"2";"2"
"Communication avec les sponsors sur des retours produits du NND";"1/3/2019";"2/3/2019";"2";"2"
"Vérification que les sponsors sont satisfaits des contreparties";"3/3/2019";"11/5/2019";"2";"2"
" indentification d’éléments à améliorer pour le raid";"11/3/2019";"15/3/2019";"2";"2"
"Bilan de la retape alimentaire raid";"1/4/2019";"5/4/2019";"2";"2"
"Répartition des produits alimentaires sponsoring raid";"1/4/2019";"5/4/2019";"2";"2"
"Rendez-vous avec des sponsors locaux si nécessaire (retape locale raid)";"5/4/2019";"7/4/2019";"2";"2"
"Rendez-vous avec des sponsors locaux et recherche de sponsors locaux de dernière minute";"17/4/2019";"23/4/2019";"2";"2"
"Répartition les lots du raid";"17/4/2019";"23/4/2019";"2";"2"
"Mise en place des contreparties sponsoring raid";"8/4/2019";"11/5/2019";"2";"2"
" vérification que les produits sont bien mis en avant et que les contreparties sont respectées";"1/3/2019";"28/4/2019";"2";"2"
"Communication avec les sponsors sur des retours produits du raid";"24/4/2019";"28/4/2019";"2";"2"
"Vérification que les sponsors sont satisfaits des contreparties";"3/3/2019";"11/5/2019";"2";"2"
"Bilan du raid pour le secteur  Sponsoring";"13/5/2019";"17/5/2019";"2";"2"
"Rédaction du rapport de passation";"29/4/2019";"24/5/2019";"2";"2"
"Livraison du rapport de passation";"27/5/2019";"7/6/2019";"2";"2"
"Formation initiale GDA prospection en tant que formateur";"1/6/2019";"30/6/2019";"2";"2"
