nom;debut;fin;niveau;ressources
Com'int;;;1;
Realisation film asso;03/09/2018;13/09/2018;2;Media
Affiche 1ère RdB;20/08/2018;05/09/2018;2;Design
Affiche bar spe / BBQ rentree;20/08/2018;05/09/2018;2;Design
Semaine d'intÈgration;02/09/2018;16/09/2018;2;
Compil WER;17/09/2018;21/09/2018;2;
Compil SER;16/10/2018;26/10/2018;2;
Article SER;06/11/2018;10/11/2018;2;
Article NL BdS;04/12/2018;08/12/2018;2;
Article, NL BdE (Raid);05/02/2019;16/04/2019;2;
Compil Raid;05/02/2019;20/04/2019;2;
Plaquette Alpha;04/03/2019;15/04/2019;2;Design
Raidbook staff ;01/05/2019;01/06/2019;2;Design, Com
QdS Staff;07/05/2019;19/05/2019;2;Enviqua, Sec'Gen
