nom;debut;fin;niveau;ressources
Media;;;1;
Réalisation film asso;01/08/2018;09/09/2018;2;Com' Int
Réalisation de contenu vidéo pour les partenaires;02/09/2018;27/05/2019;2;Com
Relations avec Hyris et Pics;03/09/2018;01/06/2019;2;
Présentation des prestations médias pour les entreprises;03/09/2018;29/10/2018;2;Buro
Réalisation ou supevision de différents montages internes (SER, WEN///);03/09/2018;01/05/2018;2;
Formation Utilisation CMS Site Externe;06/11/2018;06/12/2019;2;Info, Entreprises, Com
Finaliser l'animation du logo du Raid;19/09/2018;01/03/2019;2;
Réalisations de vidéos pour la SdL;01/10/2018;23/11/2018;2;
réalisation de vidéo courtes pour les concurrentes;01/11/2018;01/02/2019;2;
Préparation audit interne;15/10/2018;07/01/2019;2;Enviqua, Tous
Réalisation du générique NND;31/10/2018;01/03/2019;2;
Réalisation de teasers pour la com' extérieure;05/11/2018;01/04/2019;2;Com
Réalisation vidéo Tous Hanscène;06/11/2018;10/01/2019;2;Inclusion
Audit interne;01/01/2019;10/01/2019;2;Enviqua, Tous
Préparation cérém' NND;08/01/2018;26/02/2019;2;Com
Réalisation du générique Raid;01/03/2018;23/04/2019;2;
Préparation des cérém' du Raid;19/03/2018;27/04/2018;2;Com
Préparation audit externe;01/03/2019;01/04/2019;2;Tous, Enviqua
Mise à jour site externe;01/09/2018;01/06/2019;2;Info, concs, com
