nom;debut;fin;niveau;ressources
relation_presse;;;1;
Design site externe;01/07/2018;31/08/2018;2;Info, Design, Com
Trier base de données;01/08/2018;01/11/2018;2;Com
Benchmark affiches;01/08/2018;30/08/2018;2;Com
Recherche parrains et interviews (NND & Raid);01/10/2018;25/03/2019;2;VP MCDEC, Presse
Préparation audit interne;15/10/2018;07/01/2019;2;Enviqua, Tous
Audit interne;01/01/2019;10/01/2019;2;Enviqua, Tous
Préparation audit externe;13/03/2019;31/03/2019;2;Tous, Enviqua
Rapport de passation;13/05/2019;10/06/2019;2;
Recherche contacts presse;01/09/2019;30/09/2010;2;
Rédaction des communiqués de presse ;01/09/2019;30/09/2010;2;
Définition des objectifs et missions Presse;01/09/2019;30/09/2010;2;
Choix des documents de présentation de l'asso aux organismes de presse;01/09/2019;30/09/2010;2;
Retape journalistes et organismes de presse;01/09/2019;30/09/2010;2;
Contact autres associations à événement sportif (recherche de référence);01/09/2019;30/09/2010;2;
Renouvellement contrats (JDGEU, Figaro, Etudiant);01/09/2019;30/09/2010;2;
Article SdL;01/12/2019;30/12/2019;2;
Rédaction trame interviews;01/12/2019;30/12/2019;2;
Rédaction anticipée articles de presse NND;01/01/2019;30/01/2019;2;
Tournage interviews NND;01/01/2019;30/01/2019;2;
Rédaction anticipée articles presse Raid;01/03/2019;30/03/2019;2;
Tournage interviews Raid;01/03/2019;30/03/2019;2;
