nom;debut;fin;niveau;ressources
Design;;;1;
Charte graphique;30.06.2018;31.08.2018;2;
Document CR;30.06.2018;31.08.2018;2;
Polos;30.06.2018;03.09.2018;2;Achats
Bracelets;30.06.2018;03.09.2018;2;Achats
Affiche 1ère rdb;20.08.2017;05.09.2017;2;Com'int
Affiche bar spe . BBQ rentree;20.08.2017;05.09.2017;2;Com'int
Cartes de visite;01.08.2018;15.09.2018;2;VP MCDEC, Achats
PrÈparation du petit dÈjeuner entreprise;01.09.2018;05.10.2018;2;VP MCDEC, Ent, Com
Plaquette et Catalogue entreprise;20.09.2018;01.11.2018;2;VP MCDEC, Ent
Plaquette log-enviqua;30.09.2018;10.10.2018;2;Log, Enviqua
Plaquette iti;01.11.2018;10.11.2018;2;Iti
Version papier du macroplanning (Gantt);08.10.2018;31.10.2018;2;Planning
Invitation SdL;15.10.2018;25.10.2018;2;Sec' gen
Affiche du Raid;15.10.2018;01.12.2018;2;Buro, Com
Affiche NND;15.10.2018;01.12.2018;2;Buro, Com
Flyers Raid.NND;15.10.2018;01.12.2018;2;Buro, Com
Logo de l'Èdition;15.10.2018;01.12.2018;2;Buro, Com
PrÈparation soirÈe de lancement;01.11.2018;05.12.2018;2;Design, Concurrents, Com
Polaires;01.11.2017;09.02.2018;2;Achats
Parkas;01.11.2017;09.02.2018;2;Achats, Ent
Bandeaux Facebook/Hyperplanning/Lydia/?;15.11.2018;30.12.2018;2;VP MCDEC, Com
Fond des slides;15.10.2017;15.11.2017;2;Sec' gen
Roadbook NND;01.01.2019;15.02.2019;2;VP MCDEC, Prez, Entreprise, Concs, Enviqua
Livrets Concs NND;29.01.2019;10.02.2019;2;VP MCDEC, Prez, Com, Concs, Enviqua, Entreprise
T-shirt Staff.Finisher NND.Dossards. Plaques VTT NND;01.12.2018;31.01.2019;2;Achats
Livret Concurrents Raid;15.02.2019;25.03.2019;2;MCDEC, Prez, Concurrents, Com, Enviqua
Dossards.Plaques VTT Raid.Finisher Raid. ;28.02.2019;11.04.2019;2;Achats, Entreprise, Concs
Raidbook staff;01.05.2019;01.06.2019;2;Com'int
PrÈparation Vernissage;01.05.2019;01.06.2019;2;Entreprise, Com, Sec'Gen
Rapport de passation;01.06.2019;10.06.2019;2;
