nom;debut;fin;niveau;ressources
Concurrents;;;1;
Gestion de la ML mail@raidcs.com;01.09.2018;25.05.2019;2;Entreprise
Mise à jour site externe;01.09.2018;25.05.2019;2;Info
Préparation 1ère RdB secteur, implication des GPAs; 01.09.2018;30.09.2018;1;
Décider les moyens de com' pour le NND; 15.09.2018;15.11.2018;2;Com
Stand à la coupe de l'X; 17.10.2018;18.10.2018;2;
Préparation du site des inscriptions;15.09.2018;01.02.2019;2;Info Entreprise
Amélioration de la BDD des concurrents;11.09.2018;30.11.2018;2;
Mise en place des fiches Ecole;01.09.2018;01.12.2018;2;
Mise à jour des règlements (NND et Raid);16.10.2018;20.11.2018;2;Buro
Mise à jours des dossiers d'inscription;16.10.2018;20.11.2018;2;
Préparation audit interne;06.11.2018;26.11.2018;2;Enviqua Tous
Préparation RCS Tour ou équivalent, campagne d'affichage;06.11.2018;01.12.2018;2;
Stratégie RCS tour, contact club Raid;11.09.2018;26.11.2018;2;Com
Invitation des anciens concurrents étudiants à la SdL;01.11.2018;05.12.2018;2;Design Entreprise Com
RCS Tour ou équivalent en club Raid;04.12.2018;30.02.2019;2;Com
Première vague de com' (mailings, pas de segmentation, pour le NND) ; 15.12.2018;25.12.2018;2;Com
Début de la NL "entraînement" pour faire de la pub aussi ; 15.12.2018;30.03.2019;2;Média
Gestion des inscriptions Raid;04.12.2018;20.04.2019;2;
Relance des équipes du raid 2018 ;04.12.2018;30.03.2019;2;Com
Relance des équipes engagées dans l'inscription NND ;11.12.2018;16.02.2019;2;
Relance des équipes engagées dans l'inscription RAID ;11.12.2018;10.04.2019;2;
Audit interne;15.01.2019;30.01.2019;2;Enviqua Tous
Préparation du QdS du NND;15.02.2019;30.02.2019;2;Enviqua Info Buro
Dossards et plaques VTT NND;12.02.2019;23.02.2019;2;Design, Achats
Livret concurrents Raid;26.02.2019;30.03.2019;2;VP MCDEC Prez Respos Jour Com  Enviqua Entreprise Design
Dossard du Raid;19.03.2019;13.04.2019;2;Design, Achats, Entreprise
Préparation QdS Raid;19.03.2019;18.04.2019;2;
Réalisation des fichiers pour les respos (VTT, téléphones);19.03.2019;20.04.2019;2;
Préparation audit externe;19.03.2019;30.03.2019;2;Tous Enviqua
T-shirt finisher raid;19.02.2019;03.04.2019;2;Achat Design Entreprise
Synthèse par secteur du QdS NND;19.03.2019;13.04.2019;2;
Nommer et briefer les correspondants d'équipe;03.04.2019;18.04.2019;2;
Gestion de l'arrivée des concurrents;03.04.2019;2.04.2019;2;
Préparation du panneau concurrents;16.04.2019;23.04.2019;2;Iti
Dépouillement et synthèse du questionnaire de satisfaction;28.05.2019;15.07.2019;2;
