nom;debut;fin;niveau;ressources
POLIS;;;1;
Audit interne;01.01.2019;10.01.2019;2;Enviqua, Tous
Choix définitif des projets - dév événementiel (RAID);01.01.2019;13.01.2019;2;Buro, Dév événementiel
Roadbook Night N'Day;01.01.2019;21.02.2019;2;VP MCDEC, Design, RESPOS (TdN, jour, nuit, CO, actifun), Entreprise, Concs, Enviqua
QdS NND;01.02.2019;14.02.2019;2;Enviqua, Info, Buro, Concurrents
Prise de contact avec les différents prestataires - Dokever, Progevent, Cyclotrott;01.08.2018;30.11.2018;2;Buro, Inclusion
Choix définitif des différents projets à réaliser - dév événementiel (Night N'Day);01.09.2018;30.09.2018;2;Buro, Dév événementiel
Auditeur interne;01.09.2018;30.10.2018;2;Buro, Enviqua
Planning qualité;01.10.2018;15.10.2018;2;Buro, Enviqua
M. Courau;01.10.2018;30.10.2018;2;Buro, Enviqua
Dossier préfectures: Relancer les mairies qui n'ont pas répondu;01.11.2019;17.02.2019;2;VPOLIS
Choix des ouvreurs pour le NND;01.12.2018;31.01.2019;2;Ouvreurs
Retour Repérage v0 pour v1;01.12.2018;04.12.2018;2;Iti
Vérifier exigences du NND;01.12.2018;25.02.2019;2;Enviqua, Sécu, Buro
Choix définitif des entreprises - prestataires (Night N'Day);01.12.2018;31.12.2018;2;Buro, Dév événementiel
QdS Raid;02.04.2019;15.04.2019;2;Buro, Enviqua
Politique et orientations;02.06.2018;25.09.2018;2;Buro, Enviqua
Prise de contact pour les 3 WERs;03.09.2018;29.10.2018;2;Buro
Repérages NND v0 Iti;05.11.2018;01.12.2019;2;Iti
Devis actifuns;06.11.2018;25.11.2018;2;Itis
Nomination Respos Jour et Nuit;11.01.2019;04.03.2019;2;Log, Buro, Iti
Préparation audit externe;13.03.2019;31.03.2019;2;Tous, Enviqua
Formation Retape;15.10.2018;23.10.2018;2;Itis
Affiche NND;15.10.2018;01.11.2018;2;Design, Buro
Préparation audit interne;15.10.2018;07.01.2018;2;Enviqua, Tous
Affiche du Raid;15.10.2018;10.11.2018;2;Design, Buro
Lancement audit externe;15.11.2018;15.12.2018;2;Trez, Enviqua
Mise à jour des règlements (Night N'Day et Raid);16.10.2018;16.11.2018;2;Buro, Concurrents
Actis Journée environnement;19.02.2019;14.04.2019;2;Buro, Enviqua, Entreprise
RDD3;25.05.2019;15.06.2019;2;Buro, Enviqua
RDD2;26.02.2019;10.03.2019;2;Buro, Enviqua
Audit externe;26.03.2019;07.04.2019;2;Buro, Enviqua
Vérifier exigences du Raid;28.02.2019;23.04.2019;2;Enviqua, Sécu, Buro
RDD1;30.10.2018;15.11.2018;2;Buro
Bilan Carbone;30.10.2018;18.05.2019;2;Buro, Enviqua
Revoir l'itinéraire / prévoir repérage handisportifs;30.10.2018;30.11.2018;2;Inclusion, ouvreurs
1ers itis NND / Repérage;5.11.2018;01.03.2018;2;Itis, ouvreurs
Présentation des prestations médias pour les entreprises;03.09.2018;29.10.2018;2;Buro, Media
